scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.18592964824120606,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.18793969849246234,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.18994974874371862,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.1919597989949749,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.19396984924623117,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.19597989949748745,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.19798994974874373,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.35)",front,0.2,481.46500872360156
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.2,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.19798994974874373,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.19597989949748745,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.19396984924623117,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1919597989949749,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.18994974874371862,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1879396984924623,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.18592964824120603,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.18391959798994975,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.18190954773869347,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1798994974874372,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.17788944723618091,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.17587939698492464,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.17386934673366836,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.17185929648241208,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1698492462311558,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1678391959798995,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1658291457286432,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.16381909547738693,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.16180904522613065,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.15979899497487438,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1577889447236181,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.15577889447236182,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.15376884422110554,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.15175879396984926,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.14974874371859298,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1477386934673367,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.14572864321608042,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.14371859296482414,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.14170854271356784,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.13969849246231156,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.13768844221105528,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.135678391959799,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.13366834170854272,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.13165829145728644,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.12964824120603013,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.12763819095477386,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.12562814070351758,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.12361809045226131,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.12160804020100503,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.11959798994974874,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.11758793969849246,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.11557788944723618,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1135678391959799,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.11155778894472362,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.10954773869346734,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.10753768844221105,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.10552763819095477,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.1035175879396985,-720.7559868733495
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.10150753768844221,-720.7357962240593
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.09949748743718594,-720.6398540615872
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.09748743718592964,-720.453085005966
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.09547738693467336,-720.1451515297721
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.09346733668341708,-719.6857838377887
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.0914572864321608,-719.0447772831584
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.08944723618090453,-718.1919897947852
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.08743718592964825,-717.0973393156318
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.08542713567839195,-715.7308012515873
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.08341708542713568,-714.0624059305547
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.0814070351758794,-712.0622360714353
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.07939698492462312,-709.7004242626662
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.07738693467336684,-706.9471504499894
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.07537688442211055,-703.7726394331198
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.07336683417085427,-700.1471583709839
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.07135678391959799,-696.0410142952077
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.06934673366834171,-691.4245516315297
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.06733668341708543,-686.268149728814
"Ground truth (CARLA PhysX, $\mu$=0.52)",front,-0.06532663316582915,-680.5422203953515
