scenario,signal,t_run_s,value
Excitation-S4D-Pinn,e_y_m,15.072441816329956,0.011656165933258855
Excitation-S4D-Pinn,e_y_m,15.152463912963867,0.01358550753021387
Excitation-S4D-Pinn,e_y_m,15.232475519180298,0.014356362500960257
Excitation-S4D-Pinn,e_y_m,15.31248927116394,0.015206638901422265
Excitation-S4D-Pinn,e_y_m,15.392530679702759,0.016046275875700067
Excitation-S4D-Pinn,e_y_m,15.472459316253662,0.01736365115940197
Excitation-S4D-Pinn,e_y_m,15.552435874938965,0.019022506077270906
Excitation-S4D-Pinn,e_y_m,15.63240647315979,0.022083432136190878
Excitation-S4D-Pinn,e_y_m,15.712555170059204,0.024292090847530645
Excitation-S4D-Pinn,e_y_m,15.792433977127075,0.025735773452006866
Excitation-S4D-Pinn,e_y_m,15.87271237373352,0.026890009711900753
Excitation-S4D-Pinn,e_y_m,15.952808618545532,0.026907862755537804
Excitation-S4D-Pinn,e_y_m,16.03247904777527,0.027482069724815594
Excitation-S4D-Pinn,e_y_m,16.112361907958984,0.030250751469062614
Excitation-S4D-Pinn,e_y_m,16.19261598587036,0.03051236468234858
Excitation-S4D-Pinn,e_y_m,16.27247977256775,0.032671336046400185
Excitation-S4D-Pinn,e_y_m,16.352956533432007,0.03509513290706298
Excitation-S4D-Pinn,e_y_m,16.432623386383057,0.0375964815023832
Excitation-S4D-Pinn,e_y_m,16.51248526573181,0.03627373814914292
Excitation-S4D-Pinn,e_y_m,16.592690229415894,0.03971517813482994
Excitation-S4D-Pinn,e_y_m,16.67265224456787,0.043096369389929445
Excitation-S4D-Pinn,e_y_m,16.75248885154724,0.0411083541011773
Excitation-S4D-Pinn,e_y_m,16.83249068260193,0.04478679919547068
Excitation-S4D-Pinn,e_y_m,16.912779808044434,0.04856968720430821
Excitation-S4D-Pinn,e_y_m,16.992411613464355,0.05297015855698059
Excitation-S4D-Pinn,e_y_m,17.072421073913574,0.056124213043670976
Excitation-S4D-Pinn,e_y_m,17.152512073516846,0.05178099578926604
Excitation-S4D-Pinn,e_y_m,17.23233652114868,0.0563480156593138
Excitation-S4D-Pinn,e_y_m,17.31265091896057,0.06045775002889511
Excitation-S4D-Pinn,e_y_m,17.392448663711548,0.061243971384657814
Excitation-S4D-Pinn,e_y_m,17.47242569923401,0.061943194704980664
Excitation-S4D-Pinn,e_y_m,17.552501916885376,0.06838827862532776
Excitation-S4D-Pinn,e_y_m,17.632692337036133,0.0698890137394734
Excitation-S4D-Pinn,e_y_m,17.71277093887329,0.06904652029209327
Excitation-S4D-Pinn,e_y_m,17.792737245559692,0.06358161576794868
Excitation-S4D-Pinn,e_y_m,17.873035192489624,0.06299326116151849
Excitation-S4D-Pinn,e_y_m,17.952896118164062,0.06210545772891482
Excitation-S4D-Pinn,e_y_m,18.032598972320557,0.05705984954274801
Excitation-S4D-Pinn,e_y_m,18.112612009048462,0.05483615555149418
Excitation-S4D-Pinn,e_y_m,18.192671537399292,0.054217409418432116
Excitation-S4D-Pinn,e_y_m,18.27250385284424,0.05079287804792945
Excitation-S4D-Pinn,e_y_m,18.35256052017212,0.04572217817367824
Excitation-S4D-Pinn,e_y_m,18.432469367980957,0.0493774972517777
Excitation-S4D-Pinn,e_y_m,18.512531757354736,0.047141800913956464
Excitation-S4D-Pinn,e_y_m,18.592759132385254,0.04322394208665031
Excitation-S4D-Pinn,e_y_m,18.672361612319946,0.04616837106349961
Excitation-S4D-Pinn,e_y_m,18.75245237350464,0.04608981925021935
Excitation-S4D-Pinn,e_y_m,18.83269953727722,0.044698997092070133
Excitation-S4D-Pinn,e_y_m,18.91239070892334,0.042634035562377576
Excitation-S4D-Pinn,e_y_m,18.99247169494629,0.040564831849307745
Excitation-S4D-Pinn,e_y_m,19.072574853897095,0.03823367805182576
Excitation-S4D-Pinn,e_y_m,19.152339696884155,0.03685781498369209
Excitation-S4D-Pinn,e_y_m,19.232290267944336,0.038811473692031764
Excitation-S4D-Pinn,e_y_m,19.31260657310486,0.037917944240934
Excitation-S4D-Pinn,e_y_m,19.392484426498413,0.036776140920776926
Excitation-S4D-Pinn,e_y_m,19.472386837005615,0.03466925026646799
Excitation-S4D-Pinn,e_y_m,19.552385330200195,0.032899640923944956
Excitation-S4D-Pinn,e_y_m,19.632495641708374,0.03128572961187263
Excitation-S4D-Pinn,e_y_m,19.712396144866943,0.032436865670059364
Excitation-S4D-Pinn,e_y_m,19.792398691177368,0.03190660787715294
Excitation-S4D-Pinn,e_y_m,19.872446537017822,0.030900302049615358
Excitation-S4D-Pinn,e_y_m,19.952402114868164,0.0295897895111045
Excitation-S4D-Pinn,e_y_m,20.03233003616333,0.026220647460203635
Excitation-S4D-Pinn,e_y_m,20.1124165058136,0.025500438678603778
Excitation-S4D-Pinn,e_y_m,20.192557334899902,0.024537065681597397
Excitation-S4D-Pinn,e_y_m,20.27298092842102,0.022293348826164426
Excitation-S4D-Pinn,e_y_m,20.352358102798462,0.023257577851715172
Excitation-S4D-Pinn,e_y_m,20.432837963104248,0.02250061635455483
Excitation-S4D-Pinn,e_y_m,20.512738466262817,0.02158842864769642
Excitation-S4D-Pinn,e_y_m,20.592397451400757,0.020697378159093872
Excitation-S4D-Pinn,e_y_m,20.672431230545044,0.019614688456067366
Excitation-S4D-Pinn,e_y_m,20.753018140792847,0.02031659690933996
Excitation-S4D-Pinn,e_y_m,20.832553386688232,0.01928187438786108
Excitation-S4D-Pinn,e_y_m,20.912440061569214,0.01897420886086129
Excitation-S4D-Pinn,e_y_m,20.992316722869873,0.018565362113401478
Excitation-S4D-Pinn,e_y_m,21.072352170944214,0.017536943349373228
Excitation-S4D-Pinn,e_y_m,21.15236186981201,0.016392013251408856
Excitation-S4D-Pinn,e_y_m,21.232553720474243,0.01595186719615118
Excitation-S4D-Pinn,e_y_m,21.312456607818604,0.014622912882445972
Excitation-S4D-Pinn,e_y_m,21.39246964454651,0.014331865596458788
Excitation-S4D-Pinn,e_y_m,21.47258186340332,0.01383305585794161
Excitation-S4D-Pinn,e_y_m,21.55275821685791,0.01311242404947547
Excitation-S4D-Pinn,e_y_m,21.632532835006714,0.011704293682886717
Excitation-S4D-Pinn,e_y_m,21.712531328201294,0.009694579320461444
Excitation-S4D-Pinn,e_y_m,21.79273772239685,0.008676992270379588
Excitation-S4D-Pinn,e_y_m,21.872251272201538,0.008389773356271009
Excitation-S4D-Pinn,e_y_m,21.952336072921753,0.006433993721157237
Excitation-S4D-Pinn,e_y_m,22.032280921936035,0.0053910502286254255
Excitation-S4D-Pinn,e_y_m,22.112436294555664,0.00446386802451197
Excitation-S4D-Pinn,e_y_m,22.192509651184082,0.0037424043588243916
Excitation-S4D-Pinn,e_y_m,22.27229404449463,0.0030759196650836096
Excitation-S4D-Pinn,e_y_m,22.35252356529236,0.0025898430809834505
Excitation-S4D-Pinn,e_y_m,22.432265520095825,0.0021426538981516308
Excitation-S4D-Pinn,e_y_m,22.512420892715454,0.0021603413547231637
Excitation-S4D-Pinn,e_y_m,22.592458724975586,0.001611232930563311
Excitation-S4D-Pinn,e_y_m,22.67237877845764,0.0010141196813817227
Excitation-S4D-Pinn,e_y_m,22.752461433410645,0.00012141083823566379
Excitation-S4D-Pinn,e_y_m,22.83268666267395,-0.0010167118595046237
Excitation-S4D-Pinn,e_y_m,22.91229486465454,-0.0017766025466759566
Excitation-S4D-Pinn,e_y_m,22.99226212501526,-0.00230108979282434
Excitation-S4D-Pinn,e_y_m,23.072282075881958,-0.0031999928084943396
Excitation-S4D-Pinn,e_y_m,23.15260624885559,-0.003828515168553405
Excitation-S4D-Pinn,e_y_m,23.232349157333374,-0.0045329167370681545
Excitation-S4D-Pinn,e_y_m,23.312561750411987,-0.00491713385677664
Excitation-S4D-Pinn,e_y_m,23.392561197280884,-0.005679203550294817
Excitation-S4D-Pinn,e_y_m,23.47244143486023,-0.006197896154080784
Excitation-S4D-Pinn,e_y_m,23.552400588989258,-0.006531428516154958
Excitation-S4D-Pinn,e_y_m,23.6323082447052,-0.007211852168060057
Excitation-S4D-Pinn,e_y_m,23.712361574172974,-0.007781748004101925
Excitation-S4D-Pinn,e_y_m,23.792377471923828,-0.008463267028127722
Excitation-S4D-Pinn,e_y_m,23.87256145477295,-0.009000329176914368
