scenario,series,alpha_rad_or_coefficient,value
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.11959798994974874,957.8635291611225
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.12160804020100507,958.6995334376219
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.12361809045226135,959.3741784033685
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.12562814070351763,959.9046548228284
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1276381909547739,960.3082007021073
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1296482412060302,960.602102813871
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.13165829145728647,960.8036982308693
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.13366834170854275,960.9303758682762
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.13567839195979903,960.999578035065
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1376884422110553,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.13969849246231159,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.14170854271356786,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.14371859296482414,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.14572864321608042,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1477386934673367,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.14974874371859298,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.15175879396984926,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.15376884422110554,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.15577889447236182,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1577889447236181,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.15979899497487438,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.16180904522613065,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.16381909547738693,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.16582914572864327,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.16783919597989955,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.16984924623115583,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1718592964824121,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.17386934673366838,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.17587939698492466,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.17788944723618094,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.17989949748743722,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1819095477386935,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.18391959798994978,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.18592964824120606,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.18793969849246234,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.18994974874371862,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.1919597989949749,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.19396984924623117,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.19597989949748745,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.19798994974874373,961.0080097742479
"Ground truth (CARLA PhysX, $\mu$=0.70)",front,0.2,961.0080097742479
Excitation-S4D-Pinn,front,-0.2,-1038.7014632664138
Excitation-S4D-Pinn,front,-0.19798994974874373,-1039.2024512969597
Excitation-S4D-Pinn,front,-0.19597989949748745,-1039.7079041550824
Excitation-S4D-Pinn,front,-0.19396984924623117,-1040.2176357889002
Excitation-S4D-Pinn,front,-0.1919597989949749,-1040.731432542168
Excitation-S4D-Pinn,front,-0.18994974874371862,-1041.2490503641532
Excitation-S4D-Pinn,front,-0.1879396984924623,-1041.7702117445692
Excitation-S4D-Pinn,front,-0.18592964824120603,-1042.2946023456311
Excitation-S4D-Pinn,front,-0.18391959798994975,-1042.8218673003691
Excitation-S4D-Pinn,front,-0.18190954773869347,-1043.3516071430688
Excitation-S4D-Pinn,front,-0.1798994974874372,-1043.8833733341062
Excitation-S4D-Pinn,front,-0.17788944723618091,-1044.4166633374543
Excitation-S4D-Pinn,front,-0.17587939698492464,-1044.9509152047056
Excitation-S4D-Pinn,front,-0.17386934673366836,-1045.4855016145789
Excitation-S4D-Pinn,front,-0.17185929648241208,-1046.0197233114552
Excitation-S4D-Pinn,front,-0.1698492462311558,-1046.552801880516
Excitation-S4D-Pinn,front,-0.1678391959798995,-1047.083871790443
Excitation-S4D-Pinn,front,-0.1658291457286432,-1047.6119716273563
Excitation-S4D-Pinn,front,-0.16381909547738693,-1048.13603443562
Excitation-S4D-Pinn,front,-0.16180904522613065,-1048.654877072297
Excitation-S4D-Pinn,front,-0.15979899497487438,-1049.1671884722998
Excitation-S4D-Pinn,front,-0.1577889447236181,-1049.6715167105958
Excitation-S4D-Pinn,front,-0.15577889447236182,-1050.16625473612
