scenario,signal,t_s,error_est_minus_gt
ours,v_y,87.779999,0.024028380090542145
ours,v_y,87.911999,0.020521949548517437
ours,v_y,88.044,0.01611278244838993
ours,v_y,88.176,0.009840234988991892
ours,v_y,88.308,0.010048826803594646
ours,v_y,88.44,0.009079244774377299
ours,v_y,88.605,0.007921790457548705
ours,v_y,88.77,0.026220875604783866
ours,v_y,88.901999,0.009295208616941664
ours,v_y,89.066999,0.028514247917802757
ours,v_y,89.199,0.001803617814103705
ours,v_y,89.364,-0.014808757112652976
ours,v_y,89.496,-0.012677830655810796
ours,v_y,89.628,-0.019390145268370573
ours,v_y,89.793,-0.027205050094547656
ours,v_y,89.924999,-0.019913126251889235
ours,v_y,90.089999,-0.019497005498390174
ours,v_y,90.222,-0.019521083443305554
ours,v_y,90.354,-0.02271275302229414
ours,v_y,90.486,-0.025601376210878046
ours,v_y,90.651,-0.028077891641484776
ours,v_y,90.849,-0.0544566120940555
ours,v_y,90.980999,-0.030771179657944958
ours,v_y,91.145999,-0.03996733912897943
ours,v_y,91.278,-0.039720689110178675
ours,v_y,91.476,-0.0918200353103148
ours,v_y,91.608,-0.043104841473505906
ours,v_y,91.773,-0.043326676721105684
ours,v_y,91.937999,-0.03672805053309225
ours,v_y,92.102999,-0.034067233896410865
ours,v_y,92.301,-0.06357668174895437
ours,v_y,92.466,-0.033773536195842335
ours,v_y,92.631,-0.06473824573392228
ours,v_y,92.796,-0.03505720840399357
ours,v_y,92.993999,-0.031147562783742866
ours,v_y,93.158999,-0.06374980097671273
ours,v_y,93.324,-0.026860022454911536
ours,v_y,93.522,-0.02240577553879916
ours,v_y,93.687,-0.004652984835487435
ours,v_y,93.885,-0.009255358922664197
ours,v_y,94.049999,-0.015266997499665341
ours,v_y,94.214999,-0.012475881587734258
ours,v_y,94.38,-0.014400436838380853
ours,v_y,94.578,-0.02562774196293685
ours,v_y,94.743,-0.006955701395143836
ours,v_y,94.941,-0.006533208095637198
ours,v_y,95.072999,-0.00346871998969976
ours,v_y,95.270999,-0.0013920323099679936
ours,v_y,95.436,-0.002009680741797696
ours,v_y,95.601,-0.003302541566930682
ours,v_y,95.799,-0.0037455072545406753
ours,v_y,95.997,-0.007942054026726313
ours,v_y,96.128999,-0.0033739190463577817
ours,v_y,96.326999,-0.0020717096288127256
ours,v_y,96.492,-0.0013516364640662436
ours,v_y,96.657,-0.000656727802529922
ours,v_y,96.822,-0.0005614964061179673
ours,v_y,97.02,-0.002202773302531477
ours,v_y,97.151999,-0.0011998670270826038
ours,v_y,97.349999,-0.002238347049711491
ours,v_y,97.481999,-0.0022744670392529746
ours,v_y,97.647,-0.003567948650457991
ours,v_y,97.845,-0.012455286322399867
ours,v_y,97.977,-0.004969921883605025
ours,v_y,98.141999,-0.00784201091053532
ours,v_y,98.273999,-0.00398385323396388
ours,v_y,98.471999,-0.002266876187953815
ours,v_y,98.604,-0.001897648915655515
ours,v_y,98.802,-0.002188627204797025
ours,v_y,98.967,-0.0007262664506800937
ours,v_y,99.131999,-0.000934432892129123
ours,v_y,99.296999,-0.000982482488986195
ours,v_y,99.494999,-0.004436552526535945
ours,v_y,99.626999,-0.0031149481981659014
ours,v_y,99.792,-0.002973594792245276
ours,v_y,99.99,-0.003266804666097499
ours,v_y,100.122,-0.003306952902462095
ours,v_y,100.286999,-0.0029503502355483152
ours,v_y,100.418999,-0.0032398084990034777
ours,v_y,100.616999,-0.003912882947007392
ours,v_y,100.815,-0.012658805200166025
ours,v_y,100.947,-0.003595884254399122
ours,v_y,101.112,-0.0029981451335254804
ours,v_y,101.243999,-0.0014908134255121781
ours,v_y,101.441999,-0.00136230302609976
ours,v_y,101.639999,-0.0015305344833830281
ours,v_y,101.805,-0.0013958322261826417
ours,v_y,101.937,-0.0011625112229534246
ours,v_y,102.102,-0.0014626017151332833
ours,v_y,102.266999,-0.002510053324932671
ours,v_y,102.431999,-0.0029743547982055973
ours,v_y,102.596999,-0.007452699961280293
ours,v_y,102.728999,-0.0036623204135546213
ours,v_y,102.894,-0.0034571913249915325
ours,v_y,103.059,-0.0066539030952605166
ours,v_y,103.191,-0.0026988794952152832
ours,v_y,103.355999,-0.0014770524806032373
ours,v_y,103.553999,-0.0014000596685549253
ours,v_y,103.685999,-0.0013808458534193685
ours,v_y,103.884,-0.0023772241545439443
ours,v_y,104.082,-0.000975434182922133
ours,v_y,104.279999,2.7595718992384777e-05
ours,v_y,104.411999,-0.000963681683449763
ours,v_y,104.609999,-0.0009856155815203584
ours,v_y,104.774999,-0.002698089433648236
ours,v_y,104.907,-0.0025185269985535212
ours,v_y,105.072,-0.003054599453796717
ours,v_y,105.27,-0.003495994108717749
ours,v_y,105.401999,-0.0037319079124631714
ours,v_y,105.566999,-0.002740092141171895
ours,v_y,105.764999,-0.0014787482934283912
ours,v_y,105.962999,-0.0025492830192004046
ours,v_y,106.095,-0.0007535758634291193
ours,v_y,106.293,-0.0006813199291606717
ours,v_y,106.490999,-0.0012066157243163095
ours,v_y,106.688999,-0.0014604197210668565
ours,v_y,106.820999,-0.0008419804245221839
ours,v_y,106.985999,-0.002008114774871235
ours,v_y,107.151,-0.0018451343977408455
ours,v_y,107.283,-0.0022000944057917853
ours,v_y,107.480999,-0.002127561516589163
ours,v_y,107.645999,-0.0021432952440856006
ours,v_y,107.843999,-0.005628910034567159
ours,v_y,108.008999,-0.00021497298984374594
