scenario,signal,series,t_s,value
ours,v_y,ground_truth,55.506,0.07742836465879321
ours,v_y,ground_truth,55.671,0.05710548288747219
ours,v_y,ground_truth,55.803,0.04732627785879373
ours,v_y,ground_truth,55.968,0.05286694404353476
ours,v_y,ground_truth,56.1,0.07492396948082813
ours,v_y,ground_truth,56.265,0.1155740444692448
ours,v_y,ground_truth,56.397,0.13336764982936167
ours,v_y,ground_truth,56.562,0.1251911604087219
ours,v_y,ground_truth,56.694,0.10215563592786303
ours,v_y,ground_truth,56.826,0.07733333239953666
ours,v_y,ground_truth,56.991,0.061912045595512666
ours,v_y,ground_truth,57.123,0.0605390363818028
ours,v_y,ground_truth,57.255,0.06421691744709612
ours,v_y,ground_truth,57.387,0.0685495614818592
ours,v_y,ground_truth,57.519,0.07313803429666166
ours,v_y,ground_truth,57.651,0.0785512535470474
ours,v_y,ground_truth,57.783,0.0790766655121029
ours,v_y,ground_truth,57.915,0.07403131125514761
ours,v_y,ground_truth,58.047,0.06735107484591651
ours,v_y,ground_truth,58.179,0.057841703459223126
ours,v_y,ground_truth,58.311,0.04733212729571612
ours,v_y,ground_truth,58.443,0.038771979587439276
ours,v_y,ground_truth,58.575,0.030515893209159373
ours,v_y,ground_truth,58.707,0.025738009147193708
ours,v_y,ground_truth,58.839,0.024968900387401405
ours,v_y,ground_truth,58.971,0.027777555073939197
ours,v_y,ground_truth,59.103,0.03164146403839929
ours,v_y,ground_truth,59.235,0.03662019433887309
ours,v_y,ground_truth,59.367,0.04505286076909343
ours,v_y,ground_truth,59.499,0.05115069119171345
ours,v_y,ground_truth,59.664,0.05429591436349135
ours,v_y,ground_truth,59.796,0.05201919847904435
ours,v_y,ground_truth,59.961,0.04615281650393932
ours,v_y,ground_truth,60.126,0.037595174404019716
ours,v_y,ground_truth,60.258,0.029879961646907205
ours,v_y,ground_truth,60.423,0.017880481000112525
ours,v_y,ground_truth,60.555,0.008350844179377148
ours,v_y,ground_truth,60.687,-0.003361121902027975
ours,v_y,ground_truth,60.819,-0.007625925295560165
ours,v_y,ground_truth,60.951,-0.010711117561561068
ours,v_y,ground_truth,61.083,-0.0125626861025534
ours,v_y,ground_truth,61.215,-0.014488559319747907
ours,v_y,ground_truth,61.38,-0.029335322988810475
ours,v_y,ground_truth,61.512,-0.045717681617524875
ours,v_y,ground_truth,61.644,-0.058119510128374685
ours,v_y,ground_truth,61.776,-0.0675049892646431
ours,v_y,ground_truth,61.908,-0.07556416296318957
ours,v_y,ground_truth,62.04,-0.08744898976656579
ours,v_y,ground_truth,62.172,-0.10158941742294658
ours,v_y,ground_truth,62.304,-0.1223192762160572
ours,v_y,ground_truth,62.436,-0.14788792851654087
ours,v_y,ground_truth,62.568,-0.17308176926154495
ours,v_y,ground_truth,62.7,-0.1977221016699655
ours,v_y,ground_truth,62.832,-0.221040373281987
ours,v_y,ground_truth,62.964,-0.23432297427239313
ours,v_y,ground_truth,63.129,-0.26119389770672186
ours,v_y,ground_truth,63.294,-0.26988439902700634
ours,v_y,ground_truth,63.426,-0.2712034075287413
ours,v_y,ground_truth,63.558,-0.2707270932289454
ours,v_y,ground_truth,63.69,-0.26795823788668294
ours,v_y,ground_truth,63.822,-0.27004553989028146
ours,v_y,ground_truth,63.954,-0.2767711785727567
ours,v_y,ground_truth,64.086,-0.278242322609648
ours,v_y,ground_truth,64.218,-0.29818860492339816
ours,v_y,ground_truth,64.35,-0.325160136348595
ours,v_y,ground_truth,64.482,-0.3751737701777724
ours,v_y,ground_truth,64.614,-0.4020810985995471
ours,v_y,ground_truth,64.746,-0.4270445714760882
ours,v_y,ground_truth,64.878,-0.47958511777133594
ours,v_y,ground_truth,65.01,-0.5496024895101463
ours,v_y,ground_truth,65.142,-0.6524555790276132
ours,v_y,ground_truth,65.307,-0.7057882585741755
ours,v_y,ground_truth,65.439,-0.6568611661271451
ours,v_y,ground_truth,65.604,-0.5761860047027341
ours,v_y,ground_truth,65.736,-0.4575893498844845
ours,v_y,ground_truth,65.868,-0.300110923027864
ours,v_y,ground_truth,66.0,-0.14347611448257247
ours,v_y,ground_truth,66.132,-0.011784866005351446
ours,v_y,ground_truth,66.264,0.07095368474683816
ours,v_y,ground_truth,66.396,0.07992061168100051
ours,v_y,ground_truth,66.528,0.061807054813815654
ours,v_y,ground_truth,66.66,0.04346116382143528
ours,v_y,ground_truth,66.792,0.0248852586769317
ours,v_y,ground_truth,66.924,0.027805578663089747
ours,v_y,ground_truth,67.056,0.04860491700141267
ours,v_y,ground_truth,67.188,0.07055996218030991
ours,v_y,ground_truth,67.32,0.08772649153091017
ours,v_y,ground_truth,67.452,0.10471403570796056
ours,v_y,ground_truth,67.584,0.11608306126277412
ours,v_y,ground_truth,67.716,0.13440601389534024
ours,v_y,ground_truth,67.848,0.16263307832939056
ours,v_y,ground_truth,67.98,0.19867201285909175
ours,v_y,ground_truth,68.112,0.2396313559614036
ours,v_y,ground_truth,68.244,0.2861109816997818
ours,v_y,ground_truth,68.376,0.33748417265669595
ours,v_y,ground_truth,68.508,0.39496602394961755
ours,v_y,ground_truth,68.64,0.4450830324510857
ours,v_y,ground_truth,68.772,0.48849866515744544
ours,v_y,ground_truth,68.904,0.5461218600695688
ours,v_y,ground_truth,69.036,0.5864202207424736
ours,v_y,ground_truth,69.168,0.613310798806749
ours,v_y,ground_truth,69.3,0.6607727040664582
ours,v_y,ground_truth,69.465,0.6610274493502999
ours,v_y,ground_truth,69.597,0.63322663515134
ours,v_y,ground_truth,69.729,0.6067981515644121
ours,v_y,ground_truth,69.861,0.5787305142511983
ours,v_y,ground_truth,69.993,0.546034469720766
ours,v_y,ground_truth,70.125,0.510777193873512
ours,v_y,ground_truth,70.257,0.48354702497866775
ours,v_y,ground_truth,70.389,0.47245666646408147
ours,v_y,ground_truth,70.521,0.4655159137137712
ours,v_y,ground_truth,70.653,0.45521131838775375
ours,v_y,ground_truth,70.818,0.4655762362143676
ours,v_y,ground_truth,70.95,0.46063042531410225
ours,v_y,ground_truth,71.115,0.4502527422103597
ours,v_y,ground_truth,71.247,0.4299936525704968
ours,v_y,ground_truth,71.379,0.4015171541957123
ours,v_y,ground_truth,71.511,0.3662954519433139
ours,v_y,ground_truth,71.643,0.32895655932215817
ours,v_y,ground_truth,71.775,0.30063817039006047
ours,v_y,ground_truth,71.907,0.28534159418954275
ours,v_y,ground_truth,72.039,0.2710878328146311
ours,v_y,ground_truth,72.171,0.2752589460655823
ours,v_y,ground_truth,72.303,0.27238891293548306
ours,v_y,ground_truth,72.501,0.2313017746650452
ours,v_y,ground_truth,72.633,0.1875588154825376
ours,v_y,ground_truth,72.765,0.11087945433933655
ours,v_y,ground_truth,72.897,0.03820631647810835
ours,v_y,ground_truth,73.029,-0.03625282669212915
ours,v_y,ground_truth,73.161,-0.09463204650703894
ours,v_y,ground_truth,73.293,-0.13574167733101916
ours,v_y,ground_truth,73.425,-0.16451964127954
ours,v_y,ground_truth,73.557,-0.1813919624804985
ours,v_y,ground_truth,73.689,-0.19150490198116898
ours,v_y,ground_truth,73.821,-0.2031138211771566
ours,v_y,ground_truth,73.986,-0.2118917202586914
ours,v_y,ground_truth,74.118,-0.22110778635531503
ours,v_y,ground_truth,74.25,-0.2305330810720836
ours,v_y,ground_truth,74.382,-0.2427692011430267
ours,v_y,ground_truth,74.514,-0.2629518391561714
ours,v_y,ground_truth,74.646,-0.28001089039635296
ours,v_y,ground_truth,74.778,-0.288338598904339
ours,v_y,ground_truth,74.91,-0.2686513615174597
ours,v_y,ground_truth,75.042,-0.23713007260636587
ours,v_y,ground_truth,75.174,-0.2118784617344165
ours,v_y,ground_truth,75.306,-0.1939585570552822
ours,v_y,ground_truth,75.438,-0.1904177654557806
ours,v_y,ground_truth,75.57,-0.19861196816526672
ours,v_y,ground_truth,75.702,-0.2129820546983101
ours,v_y,ground_truth,75.834,-0.23123129841451195
ours,v_y,ground_truth,75.966,-0.2583285459315334
ours,v_y,ground_truth,76.098,-0.2523483335887189
ours,v_y,ground_truth,76.263,-0.30216747442506176
ours,v_y,ground_truth,76.395,-0.3402580531735655
ours,v_y,ground_truth,76.56,-0.39300796792472603
ours,v_y,ground_truth,76.725,-0.4418947010656069
ours,v_y,ground_truth,76.89,-0.4836493046210517
ours,v_y,ground_truth,77.022,-0.5283385361778343
ours,v_y,ground_truth,77.154,-0.5602868455344634
ours,v_y,ground_truth,77.286,-0.6008229393192455
ours,v_y,ground_truth,77.418,-0.6282805477843123
ours,v_y,ground_truth,77.55,-0.6612114238785907
ours,v_y,ground_truth,77.682,-0.6289441464328078
ours,v_y,ground_truth,77.814,-0.5558122589027334
ours,v_y,ground_truth,77.946,-0.47643399883124715
ours,v_y,ground_truth,78.078,-0.3466754764779001
ours,v_y,ground_truth,78.21,-0.2961944364869282
ours,v_y,ground_truth,78.342,-0.2658398455724509
ours,v_y,ground_truth,78.506999,-0.24218930832651786
ours,v_y,ground_truth,78.639,-0.22029914153126207
ours,v_y,ground_truth,78.771,-0.2007977669046177
ours,v_y,ground_truth,78.903,-0.18516084752769757
ours,v_y,ground_truth,79.035,-0.16631399399336289
ours,v_y,ground_truth,79.167,-0.14708331135734554
ours,v_y,ground_truth,79.332,-0.11549992590090596
ours,v_y,ground_truth,79.464,-0.08900085132381186
ours,v_y,ground_truth,79.596,-0.06193877265716541
ours,v_y,ground_truth,79.728,-0.03665635875113615
ours,v_y,ground_truth,79.86,-0.013547612744000403
ours,v_y,ground_truth,79.992,0.00811329843317754
ours,v_y,ground_truth,80.124,0.028138649724715137
ours,v_y,ground_truth,80.256,0.04414264713920435
ours,v_y,ground_truth,80.388,0.06052170752355579
ours,v_y,ground_truth,80.52,0.08199401730319522
ours,v_y,ground_truth,80.652,0.1100364510435261
ours,v_y,ground_truth,80.784,0.13740063223676469
ours,v_y,ground_truth,80.916,0.16881430238680828
ours,v_y,ground_truth,81.048,0.19929494942196513
ours,v_y,ground_truth,81.18,0.22105646418564007
ours,v_y,ground_truth,81.312,0.25142896230360634
ours,v_y,ground_truth,81.444,0.2821310517049014
ours,v_y,ground_truth,81.575999,0.3020296806972489
ours,v_y,ground_truth,81.708,0.31874814477887625
ours,v_y,ground_truth,81.873,0.3364981478888627
ours,v_y,ground_truth,82.005,0.35900477750914206
ours,v_y,ground_truth,82.137,0.39407769214680144
ours,v_y,ground_truth,82.269,0.41255972419413744
ours,v_y,ground_truth,82.434,0.4378872411508805
ours,v_y,ground_truth,82.566,0.45423073123558133
ours,v_y,ground_truth,82.697999,0.4491068119755255
ours,v_y,ground_truth,82.83,0.4658887029158425
ours,v_y,ground_truth,82.962,0.44031455651555085
ours,v_y,ground_truth,83.094,0.4183149645397517
ours,v_y,ground_truth,83.226,0.40830810012994867
ours,v_y,ground_truth,83.358,0.3873249947942927
ours,v_y,ground_truth,83.49,0.39218035970722553
ours,v_y,ground_truth,83.622,0.4114526794364224
ours,v_y,ground_truth,83.753999,0.3647440498414518
ours,v_y,ground_truth,83.886,0.40609947613119424
ours,v_y,ground_truth,84.018,0.4392919565633573
ours,v_y,ground_truth,84.15,0.45100969837969807
ours,v_y,ground_truth,84.282,0.4579949956157332
ours,v_y,ground_truth,84.414,0.4708662310202918
ours,v_y,ground_truth,84.546,0.4752481027285427
ours,v_y,ground_truth,84.677999,0.4772851569857881
ours,v_y,ground_truth,84.809999,0.4804060662792704
ours,v_y,ground_truth,84.942,0.5009878254369422
ours,v_y,ground_truth,85.074,0.4987339546688574
ours,v_y,ground_truth,85.206,0.5406518625483852
ours,v_y,ground_truth,85.338,0.5761571554548652
ours,v_y,ground_truth,85.47,0.6040834808387139
ours,v_y,ground_truth,85.602,0.6045656102838155
