scenario,e_y_m
ours,0.002215638757717131
ours,0.0022352961542317362
ours,0.0021114439353695502
ours,0.0018148666311738407
ours,0.0014866759273935992
ours,0.0011251254511214226
ours,0.0010328739328146486
ours,0.001099220687630964
ours,0.0013210724365842474
ours,0.0013779849539246741
ours,0.00129724916582169
ours,0.0012039657195274667
ours,0.0010716656942729996
ours,0.0014741240555374846
ours,0.001761002753982277
ours,0.0019356067521225373
ours,0.0020455476852456814
ours,0.0019299247044738954
ours,0.0019281120899951598
ours,0.0023677245998005025
ours,0.0023814896325894397
ours,0.0025890386333211612
ours,0.0025161454958147083
ours,0.00243161658230822
ours,0.0025105334340199126
ours,0.0022434328703347384
ours,0.002298956144480835
ours,0.0023396116505386977
ours,0.0020749057633526607
ours,0.0018388912861868056
ours,0.0018794275874576827
ours,0.002334006481818973
ours,0.0029434432597603977
ours,0.0035692491569918605
ours,0.0033722344551969374
ours,0.002593416067196652
ours,0.0014615243860637839
ours,0.0009081077094939549
ours,0.0006292624303880778
ours,0.000703177727507609
ours,0.0013600155002425895
ours,0.0024508627173809305
ours,0.002833302062618448
ours,0.003271864938096114
ours,0.0032844850427744543
ours,0.0030618557199310337
ours,0.0024724457947765954
ours,0.0021590547153534922
ours,0.002418556910548597
ours,0.002746143444550264
ours,0.003221753741030897
ours,0.0038173831337448977
ours,0.004463338914070802
ours,0.004760256413608027
ours,0.004476244317287881
ours,0.004428446021295121
ours,0.003879434818823746
ours,0.003481546141163694
ours,0.00315868046615847
ours,0.0030038078665901857
ours,0.003064903482059879
ours,0.0033725932293264746
ours,0.0038990520824733407
ours,0.004569916510068384
ours,0.00503171989650919
ours,0.004869108873122419
ours,0.0047340356861363675
ours,0.004336604439343361
ours,0.004368377369725951
ours,0.004443691687491036
ours,0.0045531888051176805
ours,0.004141245951230443
ours,0.003766915801872772
ours,0.0035447350797710164
ours,0.0031158459072620492
ours,0.002817752161799747
ours,0.0027756978884057038
ours,0.0026985247796686984
ours,0.0025225069415528156
ours,0.002553823482650819
ours,0.0025622876535218164
ours,0.002866072942448755
ours,0.0033613461059778804
ours,0.00399936658975536
ours,0.0044550945680462695
ours,0.004953820980102941
ours,0.005177830910530534
ours,0.005220405228869129
ours,0.005180851928361707
ours,0.005129335196125018
ours,0.005202777410214854
ours,0.005011662656972393
ours,0.004750793869932879
ours,0.004101622360098409
ours,0.0036134988437382942
ours,0.002898386310626472
ours,0.002253021976278635
ours,0.0016289936938665428
ours,0.0010041993137011596
ours,0.0008259976598335439
ours,0.0004652747706666849
ours,0.00041589007427478286
ours,0.00043071663799310045
ours,0.0008333941163183312
ours,0.0014021793526456938
ours,0.0018506630183124928
ours,0.0025079496369135312
ours,0.0034956373146045605
ours,0.003956285267877724
ours,0.004242124340800291
ours,0.0042729822649865135
ours,0.004485416766474293
ours,0.00459006957664726
ours,0.003915855011036362
ours,0.003238493269573095
ours,0.0008515816359071504
ours,-0.0020580788041184087
ours,-0.00473261614369655
ours,-0.005768045499254804
ours,-0.004791747533246182
ours,-0.0013955712756927308
ours,0.0038145308724017446
ours,0.008758025525211544
ours,0.011352336705186428
ours,0.011205497797170505
ours,0.008838573101341451
ours,0.005212959570328191
ours,0.0018803239449539377
ours,0.0006993179956828743
ours,-8.139588787275942e-05
ours,0.00026789657943326883
ours,0.0006655176107603494
ours,0.0014544904343708476
ours,0.0020335165449056336
ours,0.0027796366290990804
ours,0.0033714056114416135
ours,0.0035951296525985055
ours,0.003312632961680717
ours,0.0030034831800122563
ours,0.002736700237396694
ours,0.00220313838542837
ours,0.0018667860764989275
ours,0.0015771559783139821
ours,0.0018344649086631248
ours,0.0023085640675520325
ours,0.0021936000966676222
ours,0.0021361219764483297
ours,0.002442045527777492
ours,0.002496048265378026
ours,0.0024818568236522065
ours,0.002122823570732013
ours,0.0017349865355598126
ours,0.0015510735565354705
ours,0.0015438340497654912
ours,0.0018110634669373238
