axis,D_true,v_rollout_mps,delta_sweep_rad,mu_reach,mu_realised,noise,seed,D_f,D_r,n_railed,railed_f,railed_r
speed,1.8,10.0,0.4,2.6591,1.698,1,4,1.793,1.7123,0,,
speed,1.8,13.0,0.4,4.4939,1.8335,0,0,1.8403,1.6929,1,,C
speed,1.8,13.0,0.4,4.4939,1.8335,1,0,1.84,1.6947,0,,
speed,1.8,13.0,0.4,4.4939,1.8335,1,1,1.8393,1.6936,0,,
speed,1.8,13.0,0.4,4.4939,1.8335,1,2,1.8418,1.6954,1,,C
speed,1.8,13.0,0.4,4.4939,1.8335,1,3,1.8425,1.6969,0,,
speed,1.8,13.0,0.4,4.4939,1.8335,1,4,1.8429,1.6913,1,,C
speed,1.8,15.0,0.4,5.983,1.9299,0,0,1.8693,1.6835,0,,
speed,1.8,15.0,0.4,5.983,1.9299,1,0,1.8741,1.6853,0,,
speed,1.8,15.0,0.4,5.983,1.9299,1,1,1.873,1.6857,0,,
speed,1.8,15.0,0.4,5.983,1.9299,1,2,1.8728,1.6895,0,,
speed,1.8,15.0,0.4,5.983,1.9299,1,3,1.874,1.6871,0,,
speed,1.8,15.0,0.4,5.983,1.9299,1,4,1.8746,1.6871,0,,
speed,1.8,20.0,0.4,10.6364,2.1776,0,0,1.9128,1.687,0,,
speed,1.8,20.0,0.4,10.6364,2.1776,1,0,1.9162,1.6852,0,,
speed,1.8,20.0,0.4,10.6364,2.1776,1,1,1.9042,1.6886,0,,
speed,1.8,20.0,0.4,10.6364,2.1776,1,2,1.908,1.6899,0,,
speed,1.8,20.0,0.4,10.6364,2.1776,1,3,1.8944,1.6892,0,,
speed,1.8,20.0,0.4,10.6364,2.1776,1,4,1.9129,1.6883,0,,
delta,1.8,15.0,0.03,0.4487,0.4472,0,0,2.0,1.7836,3,C|D,C
delta,1.8,15.0,0.03,0.4487,0.4472,1,0,0.5759,0.6732,2,E,C
delta,1.8,15.0,0.03,0.4487,0.4472,1,1,0.6047,1.5952,2,E,E
delta,1.8,15.0,0.03,0.4487,0.4472,1,2,0.6219,1.5179,2,E,E
delta,1.8,15.0,0.03,0.4487,0.4472,1,3,0.6564,1.6115,2,E,C
delta,1.8,15.0,0.03,0.4487,0.4472,1,4,1.4257,1.628,2,E,C
delta,1.8,15.0,0.06,0.8974,0.8929,0,0,2.0,2.0,3,D,C|D
delta,1.8,15.0,0.06,0.8974,0.8929,1,0,1.3064,2.0,3,C,C|D
delta,1.8,15.0,0.06,0.8974,0.8929,1,1,1.3077,2.0,3,C,C|D
delta,1.8,15.0,0.06,0.8974,0.8929,1,2,1.3403,2.0,3,C,C|D
delta,1.8,15.0,0.06,0.8974,0.8929,1,3,2.0,2.0,4,C|D,C|D
delta,1.8,15.0,0.06,0.8974,0.8929,1,4,2.0,2.0,4,C|D,C|D
delta,1.8,15.0,0.1,1.4957,1.4745,0,0,2.0,2.0,2,D,D
delta,1.8,15.0,0.1,1.4957,1.4745,1,0,1.9169,2.0,1,,D
delta,1.8,15.0,0.1,1.4957,1.4745,1,1,1.8971,2.0,1,,D
delta,1.8,15.0,0.1,1.4957,1.4745,1,2,1.9296,2.0,1,,D
delta,1.8,15.0,0.1,1.4957,1.4745,1,3,2.0,2.0,2,D,D
delta,1.8,15.0,0.1,1.4957,1.4745,1,4,2.0,2.0,2,D,D
