t_s,commanded_tire_friction,schedule
21.966,1.000000,constant
22.000,1.000000,constant
22.033,1.000000,constant
22.066,1.000000,constant
22.099,1.000000,constant
22.133,1.000000,constant
22.166,1.000000,constant
22.200,1.000000,constant
22.233,1.000000,constant
22.266,1.000000,constant
22.299,1.000000,constant
22.333,1.000000,constant
22.366,1.000000,constant
22.400,1.000000,constant
22.433,1.000000,constant
22.466,1.000000,constant
22.500,1.000000,constant
22.533,1.000000,constant
22.566,1.000000,constant
22.600,1.000000,constant
22.633,1.000000,constant
22.666,1.000000,constant
22.699,1.000000,constant
22.733,1.000000,constant
22.766,1.000000,constant
22.800,1.000000,constant
22.833,1.000000,constant
22.866,1.000000,constant
22.900,1.000000,constant
22.933,1.000000,constant
22.966,1.000000,constant
22.999,1.000000,constant
23.033,1.000000,constant
23.066,1.000000,constant
23.099,1.000000,constant
23.133,1.000000,constant
23.166,1.000000,constant
23.199,1.000000,constant
23.233,1.000000,constant
23.266,1.000000,constant
23.299,1.000000,constant
23.333,1.000000,constant
23.366,1.000000,constant
23.400,1.000000,constant
23.433,1.000000,constant
23.466,1.000000,constant
23.500,1.000000,constant
23.533,1.000000,constant
23.566,1.000000,constant
23.599,1.000000,constant
23.633,1.000000,constant
23.666,1.000000,constant
23.700,1.000000,constant
23.733,1.000000,constant
23.766,1.000000,constant
23.800,1.000000,constant
23.833,1.000000,constant
23.866,1.000000,constant
23.899,1.000000,constant
23.933,1.000000,constant
23.966,1.000000,constant
24.000,1.000000,constant
24.033,1.000000,constant
24.066,1.000000,constant
24.100,1.000000,constant
24.133,1.000000,constant
24.166,1.000000,constant
24.200,1.000000,constant
24.233,1.000000,constant
24.266,1.000000,constant
24.300,1.000000,constant
24.333,1.000000,constant
24.366,1.000000,constant
24.399,1.000000,constant
24.433,1.000000,constant
24.466,1.000000,constant
24.500,1.000000,constant
24.533,1.000000,constant
24.566,1.000000,constant
24.599,1.000000,constant
24.633,1.000000,constant
24.666,1.000000,constant
24.700,1.000000,constant
24.733,1.000000,constant
24.767,1.000000,constant
24.800,1.000000,constant
24.833,1.000000,constant
24.866,1.000000,constant
24.900,1.000000,constant
24.933,1.000000,constant
24.966,1.000000,constant
25.000,1.000000,constant
25.033,1.000000,constant
25.066,1.000000,constant
25.100,1.000000,constant
25.133,1.000000,constant
25.166,1.000000,constant
25.199,1.000000,constant
25.233,1.000000,constant
25.266,1.000000,constant
25.300,1.000000,constant
25.333,1.000000,constant
25.366,1.000000,constant
25.400,1.000000,constant
25.433,1.000000,constant
25.466,1.000000,constant
25.500,1.000000,constant
25.533,1.000000,constant
25.566,1.000000,constant
25.599,1.000000,constant
25.633,1.000000,constant
25.666,1.000000,constant
25.700,1.000000,constant
25.733,1.000000,constant
25.766,1.000000,constant
25.799,1.000000,constant
25.833,1.000000,constant
25.866,1.000000,constant
25.899,1.000000,constant
25.933,1.000000,constant
25.967,1.000000,constant
25.999,1.000000,constant
26.033,1.000000,constant
26.066,1.000000,constant
26.100,1.000000,constant
26.133,1.000000,constant
26.166,1.000000,constant
26.200,1.000000,constant
26.233,1.000000,constant
26.266,1.000000,constant
26.299,1.000000,constant
26.333,1.000000,constant
26.366,1.000000,constant
26.400,1.000000,constant
26.433,1.000000,constant
26.466,1.000000,constant
26.500,1.000000,constant
26.533,1.000000,constant
26.566,1.000000,constant
26.599,1.000000,constant
26.633,1.000000,constant
26.666,1.000000,constant
26.699,1.000000,constant
26.733,1.000000,constant
26.766,1.000000,constant
26.800,1.000000,constant
26.833,1.000000,constant
26.866,1.000000,constant
26.899,1.000000,constant
26.933,1.000000,constant
26.966,1.000000,constant
26.999,1.000000,constant
27.033,1.000000,constant
27.067,1.000000,constant
27.099,1.000000,constant
27.133,1.000000,constant
27.166,1.000000,constant
27.200,1.000000,constant
27.233,1.000000,constant
27.266,1.000000,constant
27.299,1.000000,constant
27.333,1.000000,constant
27.366,1.000000,constant
27.400,1.000000,constant
27.433,1.000000,constant
27.466,1.000000,constant
27.500,1.000000,constant
27.533,1.000000,constant
27.566,1.000000,constant
27.600,1.000000,constant
27.633,1.000000,constant
27.666,1.000000,constant
27.700,1.000000,constant
27.733,1.000000,constant
27.766,1.000000,constant
27.799,1.000000,constant
27.833,1.000000,constant
27.866,1.000000,constant
27.900,1.000000,constant
27.933,1.000000,constant
27.966,1.000000,constant
28.000,1.000000,constant
28.033,1.000000,constant
28.066,1.000000,constant
28.099,1.000000,constant
28.133,1.000000,constant
28.166,1.000000,constant
28.200,1.000000,constant
28.233,1.000000,constant
28.266,1.000000,constant
28.300,1.000000,constant
28.333,1.000000,constant
28.366,1.000000,constant
28.400,1.000000,constant
28.433,1.000000,constant
28.466,1.000000,constant
28.499,1.000000,constant
28.533,1.000000,constant
28.566,1.000000,constant
28.600,1.000000,constant
28.633,1.000000,constant
28.666,1.000000,constant
28.700,1.000000,constant
28.733,1.000000,constant
28.766,1.000000,constant
28.800,1.000000,constant
