stamp_sec,fl_fy_gt,fl_fy_est,fr_fy_gt,fr_fy_est,rl_fy_gt,rl_fy_est,rr_fy_gt,rr_fy_est,front_sum_gt,front_sum_est,rear_sum_gt,rear_sum_est,total_sum_gt,total_sum_est
1788557505.733072,-45.96826171875,-38.23419839131022,-48.171897888183594,-39.90713109076601,-43.38423156738281,-37.8644648636767,-45.5066032409668,-39.46154354407743,-94.1401596069336,-78.14132948207623,-88.89083480834961,-77.32600840775413,-183.0309944152832,-155.46733788983036
1788557505.799072,-50.928741455078125,-42.500405173409305,-53.18113327026367,-43.89074331194679,-45.80412673950195,-40.20818646633168,-48.144474029541016,-42.12591033765398,-104.1098747253418,-86.3911484853561,-93.94860076904297,-82.33409680398566,-198.05847549438477,-168.72524528934176
1788557505.865072,-52.488616943359375,-43.96488325267122,-55.056583404541016,-45.95175874855761,-48.860111236572266,-43.048574516104246,-51.22978591918945,-44.81511673895643,-107.54520034790039,-89.91664200122884,-100.08989715576172,-87.86369125506067,-207.6350975036621,-177.7803332562895
1788557505.931072,-52.40129089355469,-44.30147033441732,-54.92683410644531,-46.19974127525022,-51.26632308959961,-45.48818215878632,-53.88252258300781,-47.59540964688578,-107.328125,-90.50121160966754,-105.14884567260742,-93.0835918056721,-212.47697067260742,-183.58480341533965
1788557505.9970722,-54.100921630859375,-45.87374418816477,-56.70854187011719,-47.8198523676162,-53.339359283447266,-47.862309271043635,-56.06345748901367,-50.05223483547093,-110.80946350097656,-93.69359655578097,-109.40281677246094,-97.91454410651457,-220.2122802734375,-191.60814066229554
1788557506.0300722,-57.26740646362305,-48.78876975430601,-60.37738800048828,-51.83869479290313,-54.22844314575195,-48.75104981947812,-56.983421325683594,-50.94415779041908,-117.64479446411133,-100.62746454720914,-111.21186447143555,-99.6952076098972,-228.85665893554688,-200.32267215710635
1788557506.0630722,-53.60747146606445,-45.3575922280605,-56.00165557861328,-46.89835910225867,-54.33329772949219,-49.06443245293134,-56.89543533325195,-50.829743087304564,-109.60912704467773,-92.25595133031916,-111.22873306274414,-99.8941755402359,-220.83786010742188,-192.15012687055508
1788557506.1290722,-55.81837844848633,-47.48004543699348,-58.313785552978516,-49.0879138289872,-55.83903884887695,-50.19259399855211,-58.49775314331055,-52.05704096125831,-114.13216400146484,-96.56795926598068,-114.3367919921875,-102.24963495981042,-228.46895599365234,-198.81759422579108
1788557506.1950722,-59.82477569580078,-51.02563924005259,-62.58701705932617,-52.91182228597326,-57.794464111328125,-52.23886873860028,-60.611717224121094,-54.29790308998891,-122.41179275512695,-103.93746152602586,-118.40618133544922,-106.5367718285892,-240.81797409057617,-210.47423335461505
1788557506.2280722,-60.14393997192383,-51.438652792038475,-62.88473129272461,-53.26045832265052,-58.4866943359375,-52.96337712018248,-61.878700256347656,-56.15728810846943,-123.02867126464844,-104.699111114689,-120.36539459228516,-109.12066522865192,-243.3940658569336,-213.81977634334092
1788557506.2610722,-54.457366943359375,-46.59951695310174,-56.98737335205078,-48.32247911441971,-59.358821868896484,-53.863919121802546,-62.304290771484375,-56.0553986285015,-111.44474029541016,-94.92199606752145,-121.66311264038086,-109.91931775030405,-233.10785293579102,-204.8413138178255
1788557506.3270721,-55.80595397949219,-47.66278698724975,-58.43205261230469,-49.490679847561466,-59.448795318603516,-54.333283072510625,-62.247520446777344,-56.31059473127634,-114.23800659179688,-97.15346683481121,-121.69631576538086,-110.64387780378696,-235.93432235717773,-207.7973446385982
1788557506.3930721,-53.79868698120117,-46.04361477303843,-56.362220764160156,-47.57228932626858,-58.01387023925781,-52.76484814364883,-60.9247932434082,-54.965115488039324,-110.16090774536133,-93.61590409930702,-118.93866348266602,-107.72996363168815,-229.09957122802734,-201.34586773099517
1788557506.459072,-51.29991149902344,-44.46945772650368,-53.83125305175781,-46.37722684526398,-57.110679626464844,-52.92462659499148,-59.32139587402344,-53.42888979075096,-105.13116455078125,-90.84668457176767,-116.43207550048828,-106.35351638574244,-221.56324005126953,-197.2002009575101
1788557506.525072,-49.407135009765625,-42.70331314974676,-51.91038131713867,-44.69300247929578,-53.68141174316406,-49.58482106099496,-56.4924430847168,-51.88321914750759,-101.3175163269043,-87.39631562904253,-110.17385482788086,-101.46804020850254,-211.49137115478516,-188.86435583754508
1788557506.591072,-40.6114616394043,-34.965402391031034,-42.5921745300293,-36.411258416760234,-49.95174789428711,-45.93083153103527,-52.62009811401367,-48.16524181154695,-83.2036361694336,-71.37666080779127,-102.57184600830078,-94.09607334258222,-185.77548217773438,-165.47273415037347
1788557506.624072,-39.72329330444336,-33.86622903741973,-41.70711898803711,-35.366467954774954,-47.64204025268555,-43.68413281852373,-50.1043586730957,-45.646056305971555,-81.43041229248047,-69.23269699219469,-97.74639892578125,-89.33018912449529,-179.17681121826172,-158.56288611668998
1788557506.657072,-38.28392028808594,-32.773633315156125,-40.026973724365234,-33.91145661083187,-45.511627197265625,-41.55814443910117,-47.954647064208984,-43.622761968569236,-78.31089401245117,-66.685089925988,-93.46627426147461,-85.1809064076704,-171.77716827392578,-151.86599633365842
1788557506.723072,-34.580509185791016,-29.46366570029059,-36.36045837402344,-30.888024986212113,-40.10813522338867,-36.38980329804142,-42.27735900878906,-38.25319015988436,-70.94096755981445,-60.35169068650271,-82.38549423217773,-74.64299345792578,-153.3264617919922,-134.9946841444285
1788557506.789072,-28.619691848754883,-24.314951054196367,-30.0339412689209,-25.38461365504487,-34.18064880371094,-30.907105625434156,-35.9581298828125,-32.35011402971716,-58.65363311767578,-49.69956470924124,-70.13877868652344,-63.25721965515132,-128.79241180419922,-112.95678436439255
1788557506.855072,-24.30743408203125,-20.66310964842071,-25.18268394470215,-21.19204460783427,-29.266633987426758,-26.303011655553025,-30.79181671142578,-27.552627898638843,-49.4901180267334,-41.85515425625498,-60.05845069885254,-53.85563955419187,-109.54856872558594,-95.71079381044684
1788557506.921072,-20.785602569580078,-17.40316736897139,-21.845802307128906,-18.251818244659592,-24.937416076660156,-21.95947603239932,-26.31344985961914,-23.1708635870757,-42.631404876708984,-35.654985613630984,-51.2508659362793,-45.13033961947502,-93.88227081298828,-80.78532523310601
1788557506.987072,-18.1783390045166,-15.218138279765752,-19.108915328979492,-15.97747910752865,-20.757761001586914,-18.334820241057646,-21.872716903686523,-19.298320381857177,-37.287254333496094,-31.1956173872944,-42.63047790527344,-37.63314062291482,-79.91773223876953,-68.82875801020923
1788557507.0530722,-14.820962905883789,-12.286029529408902,-15.559303283691406,-12.865758193703131,-17.250707626342773,-15.194046150203482,-18.122163772583008,-15.97126184037986,-30.380266189575195,-25.151787723112033,-35.37287139892578,-31.165307990583344,-65.75313758850098,-56.31709571369538
1788557507.1190722,-13.116595268249512,-10.825147056288479,-13.768196105957031,-11.33484317553606,-14.847634315490723,-12.957541237296523,-15.624323844909668,-13.612043378098777,-26.884791374206543,-22.159990231824537,-30.47195816040039,-26.5695846153953,-57.356749534606934,-48.72957484721984
1788557507.1520722,-12.272207260131836,-10.113724046164679,-12.888206481933594,-10.609407154911825,-13.960357666015625,-12.162805683048786,-14.696357727050781,-12.792862325693093,-25.16041374206543,-20.723131201076505,-28.656715393066406,-24.95566800874188,-53.817129135131836,-45.678799209818386
1788557507.1850722,-18.350296020507812,-15.115792709917516,-19.266469955444336,-15.855442939906204,-13.444815635681152,-11.668874020868,-14.148597717285156,-12.266873768229221,-37.61676597595215,-30.97123564982372,-27.59341335296631,-23.93574778909722,-65.21017932891846,-54.90698343892094
1788557507.2510722,-17.14948844909668,-14.010034560876639,-18.003816604614258,-14.696408975884975,-14.361059188842773,-12.428519796492518,-15.111595153808594,-13.071273498805173,-35.15330505371094,-28.70644353676161,-29.472654342651367,-25.499793295297692,-64.6259593963623,-54.206236832059304
