scenario,signal,error_gt_minus_est
ours,omega,-0.020143175655277207
ours,omega,-0.015409352139514748
ours,omega,-0.014511861424284282
ours,omega,-0.010050482975543902
ours,omega,-0.012178412697043325
ours,omega,-0.026909718725125875
ours,omega,-0.005401940800469449
ours,omega,-0.010372874762857419
ours,omega,-0.008546555688624263
ours,omega,-0.007357678685421178
ours,omega,-0.004024107472389744
ours,omega,0.0010068444653677372
ours,omega,0.004415316987592732
ours,omega,0.005613402359978613
ours,omega,0.00782532207537133
ours,omega,0.0064863347149303335
ours,omega,-5.542794654334049e-05
ours,omega,-0.0015269242407601885
ours,omega,0.0006185597393182501
ours,omega,-0.00024835506994808076
ours,omega,0.0019215566621705316
ours,omega,0.002893387292461108
ours,omega,0.011838187669386768
ours,omega,0.006929602503094975
ours,omega,-1.5008260323232103e-05
ours,omega,0.0013792129118466445
ours,omega,-0.009466953220864188
ours,omega,-0.009864763914266883
ours,omega,-0.014189782462826983
ours,omega,-0.0190751814778764
ours,omega,-0.023387837396036476
ours,omega,-0.03780668216617375
ours,omega,-0.032547608843945
ours,omega,-0.03193601626858353
ours,omega,-0.019149017472760904
ours,omega,-0.02491163063548793
ours,omega,-0.038563228557749685
ours,omega,-0.06726455974020196
ours,omega,-0.029271771059958207
ours,omega,-0.02402572511060841
ours,omega,-0.014214056769905392
ours,omega,-0.0071934479978065236
ours,omega,0.028181708675729833
ours,omega,0.01861029349925744
ours,omega,0.048179739471429145
ours,omega,0.02292614775525148
ours,omega,0.019160666988723166
ours,omega,0.005040756171276001
ours,omega,-0.008911438201442426
ours,omega,-0.004181419292538777
ours,omega,-0.0019450809267277658
ours,omega,0.0029979310095019085
ours,omega,0.005988783502017786
ours,omega,0.011640587627991306
ours,omega,0.012287922095376415
ours,omega,0.015362724473206833
ours,omega,0.015931999175076074
ours,omega,0.012168567450447986
ours,omega,0.013462387391226056
ours,omega,0.007099773099428186
ours,omega,0.0067752130701552275
ours,omega,0.008007100094259145
ours,omega,0.00915310159226037
ours,omega,0.010977404089495622
ours,omega,0.010613622576745543
ours,omega,0.015032087317796969
ours,omega,0.00879636366903197
ours,omega,0.010167291909872367
ours,omega,0.015530005781503708
ours,omega,0.01734698954189931
ours,omega,0.017904127571000017
ours,omega,0.019614324851814052
ours,omega,0.02235196015767066
ours,omega,0.0270451150564896
ours,omega,0.020940261003667887
ours,omega,0.030608950706087296
ours,omega,0.03400656896259596
ours,omega,0.027348126538900397
ours,omega,0.009997550748736206
ours,omega,0.0069825127237567175
ours,omega,0.008750365554318434
ours,omega,-0.006597234597264828
ours,omega,0.0022748404857758364
ours,omega,0.007908675505972879
ours,omega,0.010702864352333169
ours,omega,0.01641067570354368
ours,omega,0.005056556254109057
ours,omega,0.04861348978313701
ours,omega,0.0343473451635295
ours,omega,0.04064612241489557
ours,omega,0.027540219583749248
ours,omega,0.018957085938218043
ours,omega,0.013818034511853428
ours,omega,0.010170304244097261
ours,omega,0.005034608426963294
ours,omega,0.008502806069758062
ours,omega,0.00894770628609931
ours,omega,0.019288194474712583
ours,omega,0.00898819108482063
ours,omega,0.025653540280005716
ours,omega,0.00643716655798382
ours,omega,0.0002581398366732768
ours,omega,-0.002749901970488855
ours,omega,-0.010490991599385574
ours,omega,-0.019160540402804765
ours,omega,-0.012544593681568739
ours,omega,-0.009691470579038297
ours,omega,-0.007309325581782128
ours,omega,-0.0017086643326465478
ours,omega,0.006230052525743934
ours,omega,0.003930639237810701
ours,omega,0.004955517926294339
ours,omega,0.00900740650858231
ours,omega,0.0034872101785478615
