scenario,signal,series,t_s,value
ours,v_y,ground_truth,41.283,0.5975367714924911
ours,v_y,ground_truth,41.415,0.5495192874926351
ours,v_y,ground_truth,41.547,0.5019419521369279
ours,v_y,ground_truth,41.679,0.4653071885496187
ours,v_y,ground_truth,41.844,0.4417018665234336
ours,v_y,ground_truth,41.943,0.4075203917224375
ours,v_y,ground_truth,42.075,0.404873593286303
ours,v_y,ground_truth,42.207,0.4330739779468873
ours,v_y,ground_truth,42.273,0.4597812473101106
ours,v_y,ground_truth,42.405,0.5228817106565224
ours,v_y,ground_truth,42.471,0.5491782656158013
ours,v_y,ground_truth,42.636,0.557825732974818
ours,v_y,ground_truth,42.801,0.5186440369656959
ours,v_y,ground_truth,42.933,0.4599163239447268
ours,v_y,ground_truth,43.065,0.38061163679954424
ours,v_y,ground_truth,43.164,0.3330041752941644
ours,v_y,ground_truth,43.329,0.26981889227560574
ours,v_y,ground_truth,43.395,0.25403323796221056
ours,v_y,ground_truth,43.56,0.2337355849575231
ours,v_y,ground_truth,43.725,0.23307534789485596
ours,v_y,ground_truth,43.791,0.23611265004081217
ours,v_y,ground_truth,43.956,0.24478526892293262
ours,v_y,ground_truth,44.022,0.2486547051559218
ours,v_y,ground_truth,44.154,0.2504132899582645
ours,v_y,ground_truth,44.22,0.24777908541921612
ours,v_y,ground_truth,44.319,0.2389550542280765
ours,v_y,ground_truth,44.385,0.2323296427041428
ours,v_y,ground_truth,44.517,0.209243720065881
ours,v_y,ground_truth,44.583,0.20292893275907753
ours,v_y,ground_truth,44.715,0.17994710375088996
ours,v_y,ground_truth,44.781,0.16947777781336137
ours,v_y,ground_truth,44.88,0.1534241670299552
ours,v_y,ground_truth,44.979,0.13797070451737836
ours,v_y,ground_truth,45.078,0.12407687088059016
ours,v_y,ground_truth,45.144,0.11459861838583763
ours,v_y,ground_truth,45.21,0.1062837966008825
ours,v_y,ground_truth,45.309,0.09592876350311963
ours,v_y,ground_truth,45.375,0.0894319305224971
ours,v_y,ground_truth,45.474,0.08291766096740116
ours,v_y,ground_truth,45.573,0.07788374308361634
ours,v_y,ground_truth,45.705,0.07195604132890998
ours,v_y,ground_truth,45.771,0.06904585644242589
ours,v_y,ground_truth,45.87,0.061814876647125594
ours,v_y,ground_truth,46.002,0.050165281456262534
ours,v_y,ground_truth,46.101,0.04011186416407675
ours,v_y,ground_truth,46.2,0.031336146890707184
ours,v_y,ground_truth,46.332,0.021442789819240415
ours,v_y,ground_truth,46.53,0.018833209638829507
ours,v_y,ground_truth,46.728,0.025359590306758273
ours,v_y,ground_truth,46.86,0.030401772606112765
ours,v_y,ground_truth,46.992,0.034062577362034885
ours,v_y,ground_truth,47.058,0.036247776454463976
ours,v_y,ground_truth,47.223,0.03170968593869272
ours,v_y,ground_truth,47.322,0.03126504140725861
ours,v_y,ground_truth,47.421,0.03006882159432922
ours,v_y,ground_truth,47.52,0.03116996581782261
ours,v_y,ground_truth,47.652,0.031135422572234228
ours,v_y,ground_truth,47.784,0.027454696279046953
ours,v_y,ground_truth,47.916,0.026920917544044798
ours,v_y,ground_truth,48.048,0.025553750718838142
ours,v_y,ground_truth,48.18,0.028069833958035195
ours,v_y,ground_truth,48.312,0.03053452686631619
ours,v_y,ground_truth,48.378,0.029654384641186082
ours,v_y,ground_truth,48.51,0.031828039630806604
ours,v_y,ground_truth,48.576,0.03257288181799445
ours,v_y,ground_truth,48.708,0.031056667968469176
ours,v_y,ground_truth,48.774,0.033458765178938865
ours,v_y,ground_truth,48.906,0.032396935878740596
ours,v_y,ground_truth,48.972,0.033795639519365483
ours,v_y,ground_truth,49.104,0.03311137012314336
ours,v_y,ground_truth,49.236,0.03227948537456338
ours,v_y,ground_truth,49.368,0.030929394251095088
ours,v_y,ground_truth,49.467,0.030211741741430487
ours,v_y,ground_truth,49.566,0.030120728243315575
ours,v_y,ground_truth,49.665,0.03079737444969677
ours,v_y,ground_truth,49.764,0.031087259216034502
ours,v_y,ground_truth,49.863,0.03059801199686074
ours,v_y,ground_truth,49.962,0.031909536828688356
ours,v_y,ground_truth,50.061,0.03515640980679091
ours,v_y,ground_truth,50.226,0.038118902003516864
ours,v_y,ground_truth,50.358,0.036550236096287936
ours,v_y,ground_truth,50.556,0.03990317793980602
ours,v_y,ground_truth,50.688,0.03830044868842708
ours,v_y,ground_truth,50.886,0.03666618636345387
ours,v_y,ground_truth,50.985,0.03730370515136272
ours,v_y,ground_truth,51.15,0.03621897348258041
ours,v_y,ground_truth,51.282,0.0366154954987683
ours,v_y,ground_truth,51.414,0.03770502799916753
ours,v_y,ground_truth,51.546,0.03699609380813085
ours,v_y,ground_truth,51.612,0.036125668581334036
ours,v_y,ground_truth,51.81,0.03947547235276061
ours,v_y,ground_truth,52.008,0.03387597626877725
ours,v_y,ground_truth,52.206,0.037162429023614996
ours,v_y,ground_truth,52.305,0.03728500923967348
ours,v_y,ground_truth,52.404,0.038259544820420155
ours,v_y,ground_truth,52.503,0.03905491804922101
ours,v_y,ground_truth,52.668,0.037413117252770745
ours,v_y,ground_truth,52.734,0.03683769923269509
ours,v_y,ground_truth,52.932,0.03675604334143223
ours,v_y,ground_truth,53.064,0.0350542052154148
ours,v_y,ground_truth,53.196,0.03168034522486263
ours,v_y,ground_truth,53.394,0.028851199862902632
ours,v_y,ground_truth,53.592,0.029656973783890095
ours,v_y,ground_truth,53.658,0.03071139772414866
ours,v_y,ground_truth,53.823,0.03030919634752105
ours,v_y,ground_truth,53.922,0.02960153885402761
ours,v_y,ground_truth,54.021,0.028630947630084114
ours,v_y,ground_truth,54.12,0.02809817165937245
ours,v_y,ground_truth,54.219,0.02696779392036075
ours,v_y,ground_truth,54.318,0.025270406627819764
ours,v_y,ground_truth,54.45,0.02224022428465533
ours,v_y,ground_truth,54.582,0.018359410834339007
ours,v_y,ground_truth,54.714,0.013846114494630468
ours,v_y,ground_truth,54.846,0.013016794324786307
ours,v_y,ground_truth,54.978,0.014346227621628627
ours,v_y,ground_truth,55.11,0.016009405763533824
ours,v_y,ground_truth,55.242,0.018465443186145514
ours,v_y,ground_truth,55.374,0.023886333804643556
ours,v_y,ground_truth,55.506,0.029287446250639393
ours,v_y,ground_truth,55.638,0.032839163804339266
ours,v_y,ground_truth,55.77,0.03437540844709286
ours,v_y,ground_truth,55.968,0.03466351430895065
ours,v_y,ground_truth,56.067,0.03486817505735962
ours,v_y,ground_truth,56.232,0.04553102913271001
ours,v_y,ground_truth,56.364,0.05449105720515779
ours,v_y,ground_truth,56.496,0.07298129206852155
ours,v_y,ground_truth,56.661,0.08726537349037589
ours,v_y,ground_truth,56.76,0.09129213078035658
ours,v_y,ground_truth,56.892,0.09657240537239087
ours,v_y,ground_truth,57.024,0.10216958555425204
ours,v_y,ground_truth,57.156,0.10971678508893967
ours,v_y,ground_truth,57.288,0.12054849685406677
ours,v_y,ground_truth,57.42,0.13175165022912
ours,v_y,ground_truth,57.585,0.14798472676069152
ours,v_y,ground_truth,57.684,0.15964614191786108
ours,v_y,ground_truth,57.816,0.17659955978935324
ours,v_y,ground_truth,57.948,0.1976992671253241
ours,v_y,ground_truth,58.014,0.20798700008946253
ours,v_y,ground_truth,58.146,0.2299859025316682
ours,v_y,ground_truth,58.212,0.24150894473992243
ours,v_y,ground_truth,58.344,0.26989738306015776
ours,v_y,ground_truth,58.41,0.2778117656924093
ours,v_y,ground_truth,58.542,0.31706715123909335
ours,v_y,ground_truth,58.674,0.3341448902088445
ours,v_y,ground_truth,58.806,0.35068927072400435
ours,v_y,ground_truth,58.938,0.3579465647128355
ours,v_y,ground_truth,59.07,0.3612358075045996
ours,v_y,ground_truth,59.202,0.36471238161135755
ours,v_y,ground_truth,59.334,0.37077321889366344
ours,v_y,ground_truth,59.466,0.38087157204304445
ours,v_y,ground_truth,59.598,0.3976838396003708
ours,v_y,ground_truth,59.73,0.40396556337146183
ours,v_y,ground_truth,59.796,0.4056222661795701
ours,v_y,ground_truth,59.895,0.409574522401714
ours,v_y,ground_truth,59.994,0.41012359018341016
ours,v_y,ground_truth,60.06,0.4208494878016573
ours,v_y,ground_truth,60.159,0.4389696784206123
ours,v_y,ground_truth,60.225,0.45454322186814844
ours,v_y,ground_truth,60.324,0.47340875397947135
ours,v_y,ground_truth,60.39,0.48300124227418006
ours,v_y,ground_truth,60.456,0.5005296737196492
ours,v_y,ground_truth,60.555,0.5419372053504157
ours,v_y,ground_truth,60.621,0.5523629146130022
ours,v_y,ground_truth,60.72,0.5791754848076716
ours,v_y,ground_truth,60.786,0.6133879588395059
ours,v_y,ground_truth,60.885,0.6637620776193973
ours,v_y,ground_truth,60.984,0.7219795092955952
ours,v_y,ground_truth,61.083,0.7546727918051923
ours,v_y,ground_truth,61.149,0.7617395216229585
ours,v_y,ground_truth,61.248,0.7776283519162694
ours,v_y,ground_truth,61.347,0.7670789811468683
ours,v_y,ground_truth,61.479,0.7180304891106415
ours,v_y,ground_truth,61.545,0.6790294503707575
ours,v_y,ground_truth,61.644,0.6363477863896749
ours,v_y,ground_truth,61.776,0.5723734592320486
ours,v_y,ground_truth,61.908,0.5146186093119427
ours,v_y,ground_truth,62.007,0.4906378880918698
ours,v_y,ground_truth,62.172,0.4625757574734104
ours,v_y,ground_truth,62.238,0.47280861048287015
ours,v_y,ground_truth,62.436,0.47415680270029714
ours,v_y,ground_truth,62.535,0.503437070931426
ours,v_y,ground_truth,62.7,0.5453194920422195
ours,v_y,ground_truth,62.766,0.5557759587768665
ours,v_y,ground_truth,62.931,0.6052141624400011
ours,v_y,ground_truth,63.03,0.6080715372334922
ours,v_y,ground_truth,63.129,0.6305076817553577
ours,v_y,ground_truth,63.294,0.6450550729957101
ours,v_y,ground_truth,63.36,0.6402016030079665
ours,v_y,ground_truth,63.492,0.6581036189446632
ours,v_y,ground_truth,63.624,0.6544342230404361
ours,v_y,ground_truth,63.756,0.6432221088078212
ours,v_y,ground_truth,63.888,0.6062397548402831
ours,v_y,ground_truth,64.02,0.578224310622188
ours,v_y,ground_truth,64.152,0.544193774404043
ours,v_y,ground_truth,64.284,0.5213325839644263
ours,v_y,ground_truth,64.416,0.4871448439320787
ours,v_y,ground_truth,64.548,0.38940846921162375
ours,v_y,ground_truth,64.68,0.33063976732578837
