scenario,controller,abs_e_y_m
ours_mu_0.7,RUNNING_PP,0.030615283645588867
ours_mu_0.7,RUNNING_PP,0.03322442880124556
ours_mu_0.7,RUNNING_PP,0.03219419956200059
ours_mu_0.7,RUNNING_PP,0.03175182412587055
ours_mu_0.7,RUNNING_PP,0.0334174093068815
ours_mu_0.7,RUNNING_PP,0.03372013565433098
ours_mu_0.7,RUNNING_PP,0.03256315921507366
ours_mu_0.7,RUNNING_PP,0.03024998985161484
ours_mu_0.7,RUNNING_PP,0.031699066259972014
ours_mu_0.7,RUNNING_PP,0.03048699027234239
ours_mu_0.7,RUNNING_PP,0.027893478577066533
ours_mu_0.7,RUNNING_PP,0.029193197212698765
ours_mu_0.7,RUNNING_PP,0.028129566639075565
ours_mu_0.7,RUNNING_PP,0.025954041558258006
ours_mu_0.7,RUNNING_PP,0.02771240137653777
ours_mu_0.7,RUNNING_PP,0.026527266362917246
ours_mu_0.7,RUNNING_PP,0.02456973906676091
ours_mu_0.7,RUNNING_PP,0.02656573254782043
ours_mu_0.7,RUNNING_PP,0.02529869793314493
ours_mu_0.7,RUNNING_PP,0.02354278658934683
ours_mu_0.7,RUNNING_PP,0.02522985130514617
ours_mu_0.7,RUNNING_PP,0.025411377990124197
ours_mu_0.7,RUNNING_PP,0.0239447139443697
ours_mu_0.7,RUNNING_PP,0.024064916825010635
ours_mu_0.7,RUNNING_PP,0.025377991010286885
ours_mu_0.7,RUNNING_PP,0.025168238463718046
ours_mu_0.7,RUNNING_PP,0.023338641319627595
ours_mu_0.7,RUNNING_PP,0.02579394405616993
ours_mu_0.7,RUNNING_PP,0.0260553084656615
ours_mu_0.7,RUNNING_PP,0.025244027055022322
ours_mu_0.7,RUNNING_PP,0.02530385061326612
ours_mu_0.7,RUNNING_PP,0.025349243918155157
ours_mu_0.7,RUNNING_PP,0.024451672912791045
ours_mu_0.7,RUNNING_PP,0.023105519177832823
ours_mu_0.7,RUNNING_PP,0.02264842695412317
ours_mu_0.7,RUNNING_PP,0.023158790366731553
ours_mu_0.7,RUNNING_PP,0.0213057386132105
ours_mu_0.7,RUNNING_PP,0.02242133897044805
ours_mu_0.7,RUNNING_PP,0.02160547462209926
ours_mu_0.7,RUNNING_PP,0.020885176983056503
ours_mu_0.7,RUNNING_PP,0.02083412649939395
ours_mu_0.7,RUNNING_PP,0.020717308327585934
ours_mu_0.7,RUNNING_PP,0.01890112411983491
ours_mu_0.7,RUNNING_PP,0.020227572374051733
ours_mu_0.7,RUNNING_PP,0.02018958512976178
ours_mu_0.7,RUNNING_PP,0.018489262499538972
ours_mu_0.7,RUNNING_PP,0.02000713500729064
ours_mu_0.7,RUNNING_PP,0.019479455364812076
ours_mu_0.7,RUNNING_PP,0.018852024602535877
ours_mu_0.7,RUNNING_PP,0.01901552234652082
ours_mu_0.7,RUNNING_PP,0.01787920262369974
ours_mu_0.7,RUNNING_PP,0.016634908531628967
ours_mu_0.7,RUNNING_PP,0.017831556241985666
ours_mu_0.7,RUNNING_PP,0.016609953944949907
ours_mu_0.7,RUNNING_PP,0.016999726904870616
ours_mu_0.7,RUNNING_PP,0.015386089047588591
ours_mu_0.7,RUNNING_PP,0.015932005898168483
ours_mu_0.7,RUNNING_PP,0.01502542225411313
ours_mu_0.7,RUNNING_PP,0.013849568912323751
ours_mu_0.7,RUNNING_PP,0.014540582602899588
ours_mu_0.7,RUNNING_PP,0.01367289750245404
ours_mu_0.7,RUNNING_PP,0.012576141274764141
ours_mu_0.7,RUNNING_PP,0.013055574761122679
ours_mu_0.7,RUNNING_PP,0.011354816325617134
ours_mu_0.7,RUNNING_PP,0.012329680347158874
ours_mu_0.7,RUNNING_PP,0.011483447996246232
ours_mu_0.7,RUNNING_PP,0.010621214485637298
ours_mu_0.7,RUNNING_PP,0.010774635529064006
ours_mu_0.7,RUNNING_PP,0.009340647289779236
ours_mu_0.7,RUNNING_PP,0.008169712160617626
ours_mu_0.7,RUNNING_PP,0.008565154120905832
ours_mu_0.7,RUNNING_PP,0.008214506457809162
ours_mu_0.7,RUNNING_PP,0.0065682192440166265
ours_mu_0.7,RUNNING_PP,0.006926746670928768
ours_mu_0.7,RUNNING_PP,0.006051976464133191
ours_mu_0.7,RUNNING_PP,0.00581160662121849
ours_mu_0.7,RUNNING_PP,0.00587763074807178
ours_mu_0.7,RUNNING_PP,0.0052925154412457875
ours_mu_0.7,RUNNING_PP,0.004856196297090887
ours_mu_0.7,RUNNING_PP,0.004791780719461347
ours_mu_0.7,RUNNING_PP,0.0051932396910239695
ours_mu_0.7,RUNNING_PP,0.00487788308990722
ours_mu_0.7,RUNNING_PP,0.004751741056772757
ours_mu_0.7,RUNNING_PP,0.004835241515720762
ours_mu_0.7,RUNNING_PP,0.0036959828111395865
ours_mu_0.7,RUNNING_PP,0.004757201355551341
ours_mu_0.7,RUNNING_PP,0.00441858232170908
ours_mu_0.7,RUNNING_PP,0.0034974076110622643
ours_mu_0.7,RUNNING_PP,0.004635692495319782
ours_mu_0.7,RUNNING_PP,0.0038715864204705297
ours_mu_0.7,RUNNING_PP,0.004567205784122071
ours_mu_0.7,RUNNING_PP,0.004375626463014953
ours_mu_0.7,RUNNING_PP,0.004142528627868292
ours_mu_0.7,RUNNING_PP,0.0037900475743908937
ours_mu_0.7,RUNNING_PP,0.0030196414366449043
ours_mu_0.7,RUNNING_PP,0.0030414648294218027
ours_mu_0.7,RUNNING_PP,0.002418510691637954
ours_mu_0.7,RUNNING_PP,0.0028253175058029767
ours_mu_0.7,RUNNING_PP,0.0028288586171519026
ours_mu_0.7,RUNNING_PP,0.0021713440804728146
ours_mu_0.7,RUNNING_PP,0.0026507547629295303
ours_mu_0.7,RUNNING_PP,0.0016878939159867823
ours_mu_0.7,RUNNING_PP,0.002557834416406883
ours_mu_0.7,RUNNING_PP,0.0018403919425280524
ours_mu_0.7,RUNNING_PP,0.0021977465028569787
ours_mu_0.7,RUNNING_PP,0.0016830561187036186
ours_mu_0.7,RUNNING_PP,0.0023035837467894615
ours_mu_0.7,RUNNING_PP,0.002547082799519533
ours_mu_0.7,RUNNING_PP,0.0020485225747142732
ours_mu_0.7,RUNNING_PP,0.002844331434317518
ours_mu_0.7,RUNNING_PP,0.0027545874118487246
ours_mu_0.7,RUNNING_PP,0.002775322932445985
ours_mu_0.7,RUNNING_PP,0.0025006572582925435
ours_mu_0.7,RUNNING_PP,0.0022280943224759486
ours_mu_0.7,RUNNING_PP,0.0023937365162966795
ours_mu_0.7,RUNNING_PP,0.002088149235184078
ours_mu_0.7,RUNNING_PP,0.00206401712165194
ours_mu_0.7,RUNNING_PP,0.001908818551554392
ours_mu_0.7,RUNNING_PP,0.002026657027577483
ours_mu_0.7,RUNNING_PP,0.0022111048760204977
ours_mu_0.7,RUNNING_PP,0.00201615305230618
ours_mu_0.7,RUNNING_PP,0.002286798097751147
ours_mu_0.7,RUNNING_PP,0.0017406005554514992
ours_mu_0.7,RUNNING_PP,0.001908383650979617
ours_mu_0.7,RUNNING_PP,0.002038329269591438
ours_mu_0.7,RUNNING_PP,0.0020037262317559312
ours_mu_0.7,RUNNING_PP,0.002102273482541349
ours_mu_0.7,RUNNING_PP,0.002030854797112902
ours_mu_0.7,RUNNING_PP,0.00226634090682748
ours_mu_0.7,RUNNING_PP,0.0023121475060114416
ours_mu_0.7,RUNNING_PP,0.0024096535982559564
ours_mu_0.7,RUNNING_PP,0.002598013249181394
ours_mu_0.7,RUNNING_PP,0.0026810753235396723
ours_mu_0.7,RUNNING_PP,0.002597088572914852
ours_mu_0.7,RUNNING_PP,0.0027514761428278425
ours_mu_0.7,RUNNING_PP,0.0026545325456716062
