scenario,e_y_m
ours,0.0026849429744932873
ours,0.0028201458641828325
ours,0.00299913267415694
ours,0.0032796498691234216
ours,0.003299146332562161
ours,0.0036783132821922027
ours,0.004062632606632366
ours,0.00431030706940122
ours,0.003922814327574992
ours,0.0037642883257355125
ours,0.0036703760451815004
ours,0.0030883555785050087
ours,0.0027782966028370715
ours,0.0025405062112584566
ours,0.0025069596516884562
ours,0.0024687043296889866
ours,0.002470860505677519
ours,0.0027628787744331668
ours,0.0030367994904840975
ours,0.0032680286764213
ours,0.0034079135380141734
ours,0.0031225060716363884
ours,0.0031743602034947083
ours,0.003137678655834142
ours,0.003040944857777894
ours,0.0029230732802098536
ours,0.0029720356517297097
ours,0.0030524098830082003
ours,0.003266157232357514
ours,0.003279826066916486
ours,0.003447283378344379
ours,0.003744486672780989
ours,0.004040708843635332
ours,0.004286796794282774
ours,0.004738722600603373
ours,0.005109102100967433
ours,0.004846340295921131
ours,0.004605597774487019
ours,0.004633091191850847
ours,0.004199417933875904
ours,0.004107096431209822
ours,0.00413437385066201
ours,0.004190707220427914
ours,0.004246525262952383
ours,0.004545755365323076
ours,0.004854784883716504
ours,0.00474765300620561
ours,0.004700487100297801
ours,0.004847676783848565
ours,0.004963140603826022
ours,0.004650124694256352
ours,0.004415710809668821
ours,0.004206552237519284
ours,0.0042020030976262085
ours,0.00483919928687454
ours,0.005060837775252569
ours,0.005047464130764484
ours,0.004882707479632764
ours,0.004655764230472426
ours,0.00456169043082999
ours,0.0045227439095012895
ours,0.004358630319175327
ours,0.004304478750052312
ours,0.004135834093593818
ours,0.004095619725679456
ours,0.0036114924338698784
ours,0.0032623049891403744
ours,0.003177462839551559
ours,0.003011639488808421
ours,0.003046772426789607
ours,0.00345698453021874
ours,0.003949009032223921
ours,0.004048761891746744
ours,0.004470053586595746
ours,0.004756332069590474
