scenario,signal,t_s,error_est_minus_gt
ours,front_sum_fy,22.671,25.22056325771868
ours,front_sum_fy,22.836,25.527252228434747
ours,front_sum_fy,23.001,26.71700768957345
ours,front_sum_fy,23.166,25.65978350272428
ours,front_sum_fy,23.331,25.134165148774798
ours,front_sum_fy,23.496,21.51574649587633
ours,front_sum_fy,23.661,18.87158061236275
ours,front_sum_fy,23.826,16.643218699155412
ours,front_sum_fy,23.991,15.171282777067319
ours,front_sum_fy,24.156,12.312470838416132
ours,front_sum_fy,24.321,9.94266934679817
ours,front_sum_fy,24.486,8.518367428959152
ours,front_sum_fy,24.651,6.258251905519767
ours,front_sum_fy,24.816,4.4212447804488235
ours,front_sum_fy,24.981,3.0199993523349704
ours,front_sum_fy,25.146,2.2908231038074334
ours,front_sum_fy,25.311,3.0847572858345664
ours,front_sum_fy,25.476,4.341222136047996
ours,front_sum_fy,25.641,5.246775372748186
ours,front_sum_fy,25.806,5.285233016751377
ours,front_sum_fy,25.971,4.762193055324495
ours,front_sum_fy,26.136,4.8761160699244925
ours,front_sum_fy,26.301,3.5653660190399563
ours,front_sum_fy,26.466,2.8431770846598887
ours,front_sum_fy,26.631,2.1918965634004692
ours,front_sum_fy,26.796,-1.951072792258957
ours,front_sum_fy,26.961,0.2952413811442629
ours,front_sum_fy,27.126,-0.06868620209900678
ours,front_sum_fy,27.291,-0.2437005191722137
ours,front_sum_fy,27.456,-0.3411556656894028
ours,front_sum_fy,27.621,0.5999447011341665
ours,front_sum_fy,27.786,1.5358683817333691
ours,front_sum_fy,27.951,2.9129343576578304
ours,front_sum_fy,28.116,2.7898948098138394
ours,front_sum_fy,28.281,5.177087258437801
ours,front_sum_fy,28.446,6.468263523922133
ours,front_sum_fy,28.611,6.120277647011967
ours,front_sum_fy,28.776,5.026046940369248
ours,front_sum_fy,28.941,3.6150059579289717
ours,front_sum_fy,29.106,2.5461470160547073
ours,front_sum_fy,29.271,1.4501356935832561
ours,front_sum_fy,29.436,1.142989436909013
ours,front_sum_fy,29.601,0.3065588103888093
ours,front_sum_fy,29.766,0.6999975556947979
ours,front_sum_fy,29.931,2.1348432782329603
ours,front_sum_fy,30.096,1.5179400208265932
ours,front_sum_fy,30.261,3.0749352966403762
ours,front_sum_fy,30.426,4.195240024770321
ours,front_sum_fy,30.591,4.776716765014218
ours,front_sum_fy,30.756,5.942830985835961
ours,front_sum_fy,30.921,6.019709013067498
ours,front_sum_fy,31.086,5.354497189357268
ours,front_sum_fy,31.251,4.4528684426394385
ours,front_sum_fy,31.416,3.5523975723982417
