scenario,e_y_m
ours,-0.04810705627477012
ours,-0.048778745023170415
ours,-0.048614347686158015
ours,-0.04994472171643696
ours,-0.054332639298089735
ours,-0.05322380390533776
ours,-0.05504743972285859
ours,-0.05651418475461055
ours,-0.057657974675395615
ours,-0.06089985375910516
ours,-0.06209271465109417
ours,-0.06333601754017529
ours,-0.06508385341262893
ours,-0.06727003940224238
ours,-0.07001602232830634
ours,-0.07362263299997046
ours,-0.0742933848736942
ours,-0.0769743237039944
ours,-0.08126512678183556
ours,-0.08580857372647785
ours,-0.09132009071208991
ours,-0.095322321539795
ours,-0.09750672632340661
ours,-0.10075589055742837
ours,-0.1040719485765175
ours,-0.10289663034029267
ours,-0.10669343885079596
ours,-0.11345897497788784
ours,-0.11946517315063321
ours,-0.1253805428824066
ours,-0.13231445232194664
ours,-0.1374821420425247
ours,-0.1392427902884757
ours,-0.13837582959430852
ours,-0.1317261396386477
ours,-0.11855876665091822
ours,-0.1028653968709884
ours,-0.08953901927026203
ours,-0.07661542896709267
ours,-0.06810594364235828
ours,-0.06396784086989543
ours,-0.06335796314664649
ours,-0.06593427852470851
ours,-0.06788493199342727
ours,-0.06978713202184494
ours,-0.06722652444798782
ours,-0.06235387595546185
ours,-0.055477403023897975
ours,-0.04798936608004595
ours,-0.04112955827794618
ours,-0.03589206116106583
ours,-0.031861131522362696
ours,-0.030008386203565107
ours,-0.029593449929213145
ours,-0.02927579293114896
ours,-0.028483001230820093
ours,-0.028400471449083226
ours,-0.026328651099240874
ours,-0.02392066803237375
ours,-0.02072689516045409
ours,-0.01652140702340102
ours,-0.013768282623722983
ours,-0.0061492352393346245
ours,0.0002686875070588429
ours,0.005147254987808103
ours,0.0073817205692128796
ours,0.008111802399509038
ours,0.007256263899494686
ours,0.00447524456768833
ours,0.0017597281956863164
ours,-0.00020494387618669174
ours,-0.0016297156222679354
ours,-0.0017653304514778645
ours,-0.0006580479972460029
ours,0.0009857031749792577
ours,0.0021857587819002905
ours,0.003599444377432523
ours,0.0044041724138878455
ours,0.004696230799839857
ours,0.0044750355315159585
ours,0.0037066779217857504
ours,0.0025584656025981964
ours,0.0017666786419305025
ours,0.0017370012253584144
ours,0.002016720403455574
ours,0.0026973624492260817
ours,0.0032293709833166873
ours,0.003601365153178604
ours,0.0037459094776750856
ours,0.0035980504343341713
ours,0.0029934743372258543
ours,0.002290854773278367
ours,0.001749012570420927
ours,0.0015809465375833387
ours,0.0016523768292402707
ours,0.002062702035964828
ours,0.002532472065928937
ours,0.0029547859044667113
ours,0.0030774533131646686
ours,0.0029053009964479237
ours,0.002544644463449791
ours,0.0020043733178797263
ours,0.0014839906951327753
ours,0.0013807258426662972
ours,0.0014412355438980784
ours,0.0015366077399083244
ours,0.0016868711195767994
ours,0.0018982121372272953
ours,0.0020204386203212243
ours,0.0021928290704822384
ours,0.002291427581845751
ours,0.0021147340207117726
