scenario,signal,series,t_s,value
ours,v_y,ground_truth,34.485,0.010783882748592655
ours,v_y,ground_truth,34.551,0.008751275825314986
ours,v_y,ground_truth,34.617,0.007343618401624008
ours,v_y,ground_truth,34.683,0.007766169422591229
ours,v_y,ground_truth,34.749,0.009673997852328364
ours,v_y,ground_truth,34.815,0.012600697620565482
ours,v_y,ground_truth,34.914,0.01653279756628412
ours,v_y,ground_truth,34.98,0.019027099298640104
ours,v_y,ground_truth,35.046,0.021985328671834115
ours,v_y,ground_truth,35.112,0.02588033894827646
ours,v_y,ground_truth,35.178,0.0301215020889547
ours,v_y,ground_truth,35.277,0.037001219253140816
ours,v_y,ground_truth,35.343,0.04102912300649808
ours,v_y,ground_truth,35.409,0.044232471611045376
ours,v_y,ground_truth,35.475,0.047028484200216214
ours,v_y,ground_truth,35.541,0.04956433152326256
ours,v_y,ground_truth,35.607,0.05152515726538298
ours,v_y,ground_truth,35.673,0.052711155917479324
ours,v_y,ground_truth,35.739,0.053275062021556296
ours,v_y,ground_truth,35.805,0.0532733133026253
ours,v_y,ground_truth,35.871,0.0528358421863695
ours,v_y,ground_truth,35.97,0.055249973759085025
ours,v_y,ground_truth,36.036,0.061120876616491904
ours,v_y,ground_truth,36.102,0.06827562085444638
ours,v_y,ground_truth,36.168,0.08259246675026954
ours,v_y,ground_truth,36.234,0.09568411926709186
ours,v_y,ground_truth,36.333,0.11803306385515233
ours,v_y,ground_truth,36.399,0.13186890429359877
ours,v_y,ground_truth,36.465,0.14336230818537254
ours,v_y,ground_truth,36.531,0.1573881731173783
ours,v_y,ground_truth,36.63,0.17484548723680915
ours,v_y,ground_truth,36.696,0.1867054464501069
ours,v_y,ground_truth,36.762,0.19600951778192088
ours,v_y,ground_truth,36.828,0.20294103484701898
ours,v_y,ground_truth,36.894,0.21225999800366424
ours,v_y,ground_truth,36.993,0.2222081601293625
ours,v_y,ground_truth,37.059,0.23245360532067016
ours,v_y,ground_truth,37.125,0.23816820394913746
ours,v_y,ground_truth,37.191,0.24063746641879596
ours,v_y,ground_truth,37.257,0.24324646480192405
ours,v_y,ground_truth,37.323,0.24304251079005043
ours,v_y,ground_truth,37.455,0.24773295933489378
ours,v_y,ground_truth,37.521,0.24588418330492495
ours,v_y,ground_truth,37.587,0.24400194469616807
ours,v_y,ground_truth,37.653,0.2400722406355807
ours,v_y,ground_truth,37.752,0.23153523884934074
ours,v_y,ground_truth,37.851,0.22627236900122863
ours,v_y,ground_truth,37.917,0.22652385919552256
ours,v_y,ground_truth,37.983,0.22612858434049005
ours,v_y,ground_truth,38.082,0.2278787299973909
ours,v_y,ground_truth,38.148,0.2330138950069291
ours,v_y,ground_truth,38.214,0.23587027021666773
ours,v_y,ground_truth,38.313,0.24061122522613831
ours,v_y,ground_truth,38.412,0.24818418253094887
ours,v_y,ground_truth,38.478,0.2542942042106684
ours,v_y,ground_truth,38.544,0.261924960710597
ours,v_y,ground_truth,38.61,0.26972062950862763
ours,v_y,ground_truth,38.676,0.2768790821346805
ours,v_y,ground_truth,38.775,0.2878883468125606
ours,v_y,ground_truth,38.841,0.29997755345020605
ours,v_y,ground_truth,38.907,0.3076202023799228
ours,v_y,ground_truth,39.006,0.32519007027418767
ours,v_y,ground_truth,39.072,0.34063801037287766
ours,v_y,ground_truth,39.171,0.3680551804921415
ours,v_y,ground_truth,39.237,0.39382250222351756
ours,v_y,ground_truth,39.303,0.4109929022680552
ours,v_y,ground_truth,39.402,0.4512956624799105
ours,v_y,ground_truth,39.468,0.47608489823612476
ours,v_y,ground_truth,39.534,0.489530939577028
ours,v_y,ground_truth,39.6,0.5193520995016212
ours,v_y,ground_truth,39.732,0.5518882055815246
ours,v_y,ground_truth,39.798,0.560417156820975
ours,v_y,ground_truth,39.864,0.5805914295111916
ours,v_y,ground_truth,39.93,0.6077089138332608
ours,v_y,ground_truth,39.996,0.6283708445044578
ours,v_y,ground_truth,40.095,0.6598160339195354
ours,v_y,ground_truth,40.161,0.6795231491996518
ours,v_y,ground_truth,40.227,0.7037958331661942
ours,v_y,ground_truth,40.326,0.6617474806884633
ours,v_y,ground_truth,40.392,0.657835098610243
ours,v_y,ground_truth,40.458,0.6590652996788791
ours,v_y,ground_truth,40.524,0.6509350803703793
ours,v_y,ground_truth,40.623,0.6389526636466183
ours,v_y,ground_truth,40.689,0.6411640480012712
ours,v_y,ground_truth,40.755,0.6236508349715466
ours,v_y,ground_truth,40.854,0.6009065363204042
ours,v_y,ground_truth,40.92,0.5831307516868156
ours,v_y,ground_truth,41.019,0.5640635105932477
ours,v_y,ground_truth,41.118,0.5339850545572657
ours,v_y,ground_truth,41.184,0.5192961338132367
ours,v_y,ground_truth,41.283,0.4908421896499515
ours,v_y,ground_truth,41.415,0.4528802268576362
ours,v_y,ground_truth,41.481,0.4456658459098186
ours,v_y,ground_truth,41.547,0.43243799906163183
ours,v_y,ground_truth,41.646,0.444369494254822
ours,v_y,ground_truth,41.745,0.45541162443698724
ours,v_y,ground_truth,41.811,0.4627084926553673
ours,v_y,ground_truth,41.943,0.4794618662500909
ours,v_y,ground_truth,42.009,0.48294651163706526
ours,v_y,ground_truth,42.075,0.47901649034728155
ours,v_y,ground_truth,42.207,0.49144581293631084
ours,v_y,ground_truth,42.273,0.5099196132976198
ours,v_y,ground_truth,42.405,0.5086215838662262
ours,v_y,ground_truth,42.504,0.5085528156524397
ours,v_y,ground_truth,42.57,0.5170936203743643
ours,v_y,ground_truth,42.669,0.531578860756154
ours,v_y,ground_truth,42.735,0.5310742466958125
ours,v_y,ground_truth,42.867,0.5349304424633665
ours,v_y,ground_truth,42.933,0.5404732929232807
ours,v_y,ground_truth,43.098,0.5434399114934028
ours,v_y,ground_truth,43.263,0.5366583497266983
ours,v_y,ground_truth,43.329,0.5354054584256147
ours,v_y,ground_truth,43.461,0.5342604766450183
ours,v_y,ground_truth,43.527,0.5374919459951606
ours,v_y,ground_truth,43.659,0.5247993679706209
ours,v_y,ground_truth,43.857,0.5224639675123317
ours,v_y,ground_truth,44.022,0.5094660625987739
ours,v_y,ground_truth,44.121,0.49562387799076824
ours,v_y,ground_truth,44.22,0.4948024987896762
ours,v_y,ground_truth,44.319,0.4848302370790716
ours,v_y,ground_truth,44.418,0.45825947833001557
ours,v_y,ground_truth,44.517,0.4368267916173991
ours,v_y,ground_truth,44.715,0.36443700444826277
ours,v_y,ground_truth,44.847,0.3196271764868257
ours,v_y,ground_truth,45.045,0.25767688208438067
ours,v_y,ground_truth,45.177,0.21367245124386436
