scenario,signal,error_gt_minus_est
ours,v_y,-0.024489990206327694
ours,v_y,-0.06529326157070992
ours,v_y,-0.02003444469036747
ours,v_y,-0.02212881807199646
ours,v_y,-0.006866747880576479
ours,v_y,-0.014399335727070861
ours,v_y,-0.0004936611378745792
ours,v_y,0.0005874628257358516
ours,v_y,0.017333308051215635
ours,v_y,-0.009835531216891014
ours,v_y,-0.015520671487453064
ours,v_y,-0.0665418025321019
ours,v_y,-0.037891843445714446
ours,v_y,-0.01914722897331353
ours,v_y,-0.0033155045831609886
ours,v_y,-0.002451373849584479
ours,v_y,-0.001308044216715848
ours,v_y,-0.0008993595058412324
ours,v_y,-0.0008064772749119958
ours,v_y,-0.0012660805299507666
ours,v_y,-0.0024431796512887904
ours,v_y,-0.005878685992930635
ours,v_y,-0.005034642050348079
ours,v_y,-0.003622339911269701
ours,v_y,-0.0020014448188510198
ours,v_y,-0.004570649418778189
ours,v_y,-0.0021897909647461966
ours,v_y,-0.003873589789789758
ours,v_y,-0.002136529204445639
ours,v_y,-0.0048570000973960775
ours,v_y,-0.011186507534959894
ours,v_y,-0.011612554415456833
ours,v_y,-0.005714530349817365
ours,v_y,-0.002779738505748558
ours,v_y,-0.005741137873948976
ours,v_y,-0.003326733830877504
ours,v_y,-0.002449298409463424
ours,v_y,-0.013986887440340268
ours,v_y,-0.003136418444933009
ours,v_y,-0.005630589486967166
ours,v_y,-0.005933796299684102
ours,v_y,-0.006221652384378634
ours,v_y,-0.0018721829032693066
ours,v_y,-0.0013905160397506
ours,v_y,-0.0014985448177781274
ours,v_y,-0.0033200513439762686
ours,v_y,-0.0017361568628899149
ours,v_y,-0.004492690814478464
ours,v_y,-0.009627930137472707
ours,v_y,-0.012338676968834367
ours,v_y,-0.008258557708937686
ours,v_y,-0.007830987501343062
ours,v_y,-0.008145353822336138
ours,v_y,-0.01874982578132961
ours,v_y,-0.0024706665336596267
ours,v_y,-0.002451084103305093
ours,v_y,0.0009984143537797724
ours,v_y,0.00485824867162795
ours,v_y,0.0032490826667318853
ours,v_y,0.007956408649415686
ours,v_y,-0.010774356554168044
ours,v_y,-0.020602839798166128
ours,v_y,-0.007889496870787452
ours,v_y,-0.0030957491665024317
ours,v_y,-0.005156050168206874
ours,v_y,-0.0015323667870078689
ours,v_y,-5.6007684275188874e-05
ours,v_y,6.553160757870324e-05
ours,v_y,-0.000410633392467899
ours,v_y,-0.0006924298697202069
ours,v_y,-0.0005876210658239817
ours,v_y,-0.00017365730589970207
ours,v_y,0.00054029905747284
ours,v_y,-9.581821024441661e-05
ours,v_y,0.00043739637692251365
ours,v_y,-0.0012764421428781009
ours,v_y,-0.0006444020727177924
ours,v_y,-0.0008023172702538786
ours,v_y,-0.0005492813894694693
ours,v_y,5.489316547455797e-05
ours,v_y,0.0006219959570627556
ours,v_y,0.0009047717824859844
ours,v_y,0.0012096161107846976
ours,v_y,1.369776854813487e-05
ours,v_y,-4.203170866644984e-06
ours,v_y,0.0003394276731025665
ours,v_y,0.0011704248126206476
ours,v_y,0.0016458288085466066
ours,v_y,0.001991025438015416
ours,v_y,0.0011059964918890969
ours,v_y,0.0008413702555099059
ours,v_y,4.638256104014943e-05
ours,v_y,0.0005653177642123489
ours,v_y,-6.776090930894763e-05
ours,v_y,0.00038815564751422393
ours,v_y,0.00014836671261347217
ours,v_y,-9.751254409236937e-05
ours,v_y,0.0005606181873972146
ours,v_y,-0.00013136686952850557
ours,v_y,-4.183895627963424e-05
ours,v_y,-0.0008657403647127776
ours,v_y,0.0006666448638332281
ours,v_y,-0.0005901676464135849
ours,v_y,0.0007710711726643046
ours,v_y,0.0008336562144433401
ours,v_y,0.0008873132757042136
ours,v_y,0.0019100910384885622
ours,v_y,0.0016524211750705096
ours,v_y,0.0018733650489918437
ours,v_y,0.0016549285200457954
ours,v_y,0.00220222803333783
ours,v_y,0.002905831477236614
ours,v_y,0.0020794866031755887
ours,v_y,0.0019004345399244484
ours,v_y,0.0032642194221991754
ours,v_y,0.003317887007721669
ours,v_y,0.002756690748370436
ours,v_y,0.0026247581772737907
ours,v_y,0.0022833129115494254
ours,v_y,0.002464454736186115
ours,v_y,0.0017621914178084855
ours,v_y,0.0018077770219444267
ours,v_y,0.001531180559693663
ours,v_y,0.001797628755718858
ours,v_y,0.002605195588926329
ours,v_y,0.0018684956014854079
ours,v_y,0.003606134778926795
ours,v_y,0.003430602958034712
ours,v_y,0.004475582833001944
ours,v_y,0.004922251412153772
ours,v_y,0.004226629854423056
ours,v_y,0.005280408098007158
ours,v_y,0.004823386989444192
ours,v_y,0.005644593063377348
ours,v_y,0.01309748406127803
ours,v_y,0.006430315306394263
ours,v_y,0.007770759568229674
ours,v_y,0.0074057086204741
ours,v_y,0.008385998451947985
ours,v_y,0.008759799982038519
ours,v_y,0.008810649306664059
ours,v_y,0.01027923009933257
ours,v_y,0.01063416239614462
ours,v_y,0.011811411515986803
ours,v_y,0.012188610887950507
ours,v_y,0.012430631380507845
ours,v_y,0.013098779046989278
ours,v_y,0.01450116177556518
ours,v_y,0.01217066680328871
ours,v_y,0.01217411771567628
ours,v_y,0.012463102638815504
ours,v_y,0.013136471235697722
ours,v_y,0.01410444755284146
ours,v_y,0.012869076629565102
ours,v_y,0.012641229785964714
ours,v_y,0.012476943197630874
ours,v_y,0.012050415087245303
ours,v_y,0.011679997127297725
ours,v_y,0.021407266096634403
ours,v_y,0.012830581626136872
ours,v_y,0.02088834368595044
ours,v_y,0.012238967561048475
ours,v_y,0.012759499807135921
ours,v_y,0.011556595475426479
ours,v_y,0.014607285934045477
ours,v_y,0.011416565491851882
ours,v_y,0.015778373912945953
ours,v_y,0.014765953743265281
ours,v_y,0.011353960409962283
ours,v_y,0.015750758319798996
ours,v_y,0.013089518699733182
ours,v_y,0.015765393761684676
ours,v_y,0.014369549247879587
ours,v_y,0.014895714762000911
ours,v_y,0.014394586446916713
ours,v_y,0.013824037373971199
ours,v_y,0.013868071342670318
ours,v_y,0.019191524471855903
ours,v_y,0.018367061137396834
ours,v_y,0.020713475966488093
ours,v_y,0.02295776180206699
ours,v_y,0.0225406472530566
ours,v_y,0.022905482232850383
ours,v_y,0.00977721951785282
ours,v_y,0.025973272222906796
ours,v_y,0.01666084331239448
ours,v_y,0.025612701203121646
ours,v_y,0.019477533624640053
ours,v_y,0.026910956245423057
ours,v_y,0.018263608230702444
ours,v_y,0.01857755304349512
ours,v_y,0.012270085786527912
ours,v_y,0.010687861997272036
ours,v_y,0.001608986304728388
ours,v_y,-0.0014854874470602644
ours,v_y,-0.004486372667735031
ours,v_y,-0.006668388763949991
ours,v_y,-0.007466026765293912
ours,v_y,-0.008430128946939723
ours,v_y,-0.005143690448066014
ours,v_y,-0.006748367408073511
ours,v_y,-0.01148537436662199
ours,v_y,-0.01354400330886426
ours,v_y,-0.013912012835689803
ours,v_y,-0.011822080662592424
ours,v_y,-0.011351460545198727
ours,v_y,-0.00918084072208196
ours,v_y,-0.006964381907342804
ours,v_y,-0.009183090295873428
ours,v_y,-0.0012586621043844115
ours,v_y,-0.0018772878179597607
ours,v_y,-0.0009025648314120172
ours,v_y,-0.0040829698942163595
ours,v_y,-0.0024369856242062865
ours,v_y,-0.002671367694481036
ours,v_y,-0.005961853550747104
ours,v_y,-0.001813763439219851
ours,v_y,-0.0019290893519407493
ours,v_y,-0.0027619699747846727
ours,v_y,-0.0016779558887749235
ours,v_y,-0.001804860596901381
ours,v_y,-0.0019318017712199875
ours,v_y,-0.004771990725052633
ours,v_y,-0.0032984734403507243
ours,v_y,-0.011043852913299734
ours,v_y,-0.003941245310497388
ours,v_y,-0.005419380906266369
ours,v_y,-0.0066785586483179005
ours,v_y,-0.005450151914878021
ours,v_y,-0.010992808137984256
ours,v_y,-0.005688924859845401
ours,v_y,-0.008542006197583829
ours,v_y,-0.005829666651899101
ours,v_y,-0.011920077043540922
ours,v_y,-0.011569292585916546
ours,v_y,-0.006879098094378255
ours,v_y,-0.012399156165037728
ours,v_y,-0.007593360122571169
ours,v_y,-0.011027836990761375
ours,v_y,-0.013823313729469766
ours,v_y,-0.015961378526292758
ours,v_y,-0.011740091778050576
ours,v_y,-0.012725046561429143
ours,v_y,-0.011781637542929935
ours,v_y,-0.011585249055294788
ours,v_y,-0.010074333162006899
ours,v_y,-0.009427703435546775
ours,v_y,-0.009705783050668937
ours,v_y,-0.012701353562354134
ours,v_y,-0.010953027920501457
ours,v_y,0.0034724114873856404
ours,v_y,-0.01414801627144835
ours,v_y,-0.01857691738852907
ours,v_y,-0.011719571137764784
ours,v_y,-0.012428436442206259
ours,v_y,-0.01334491997780829
ours,v_y,-0.012314052997371316
ours,v_y,-0.010753507825493558
ours,v_y,-0.01744324890714677
ours,v_y,-0.003514975924042152
ours,v_y,-0.01141335210955191
ours,v_y,-0.010152898139505151
ours,v_y,-0.011102282163624633
ours,v_y,-0.012335964421071266
ours,v_y,-0.013541214034930638
ours,v_y,-0.012544715090054614
ours,v_y,-0.014550674976113565
ours,v_y,-0.012971517599402849
ours,v_y,-0.01254996757278698
ours,v_y,-0.010350420962813411
ours,v_y,-0.013466099617522487
ours,v_y,-0.010856266690189298
ours,v_y,-0.011608886687972442
ours,v_y,-0.011486826100582381
ours,v_y,-0.00848946889611002
ours,v_y,-0.0097464588140187
ours,v_y,-0.006511322487978366
ours,v_y,-0.010147457451838038
ours,v_y,-0.005497551064193806
