scenario,signal,error_gt_minus_est
ours,omega,-0.009191778968804534
ours,omega,-0.010686772455145536
ours,omega,-0.00792282049573452
ours,omega,-0.008592133924737677
ours,omega,-0.007378924450920754
ours,omega,-0.008523938065035402
ours,omega,-0.00686910751267579
ours,omega,-0.006579630035609033
ours,omega,-0.006976559309983282
ours,omega,-0.005738890936465291
ours,omega,-0.0071666588375774165
ours,omega,-0.0061586981570587035
ours,omega,-0.00633262283924757
ours,omega,-0.008414729931420326
ours,omega,-0.006899002954978514
ours,omega,-0.010425128792567795
ours,omega,-0.00902776546879358
ours,omega,-0.013771897876420455
ours,omega,-0.012193802859981631
ours,omega,-0.03183151047219174
ours,omega,-0.012867812864139239
ours,omega,-0.015302880484638029
ours,omega,-0.01785949519456105
ours,omega,-0.015254471741936435
ours,omega,-0.020895083540478865
ours,omega,-0.01685206881196366
ours,omega,-0.023461149676380938
ours,omega,-0.019761067915107178
ours,omega,-0.016825226803453386
ours,omega,-0.021222742235010597
ours,omega,-0.014840846738399416
ours,omega,-0.02529154451711789
ours,omega,-0.017158958210549607
ours,omega,-0.023564318520078897
ours,omega,-0.02275151236874956
ours,omega,-0.0390999968699369
ours,omega,-0.03604408823484359
ours,omega,-0.031088739017197164
ours,omega,-0.013287452659090121
ours,omega,-0.014113465685496734
ours,omega,-0.00961940513674886
ours,omega,0.00624359449444542
ours,omega,0.011811636685068266
ours,omega,0.01473350449231059
ours,omega,0.030809147700640277
ours,omega,0.033501893067036104
ours,omega,0.053103219042830926
ours,omega,0.03787254594909116
ours,omega,0.027842447930934093
ours,omega,0.04294097910542347
ours,omega,0.033658226818810005
ours,omega,0.043850106431858105
ours,omega,0.024019318726165678
ours,omega,0.030262787174138564
ours,omega,0.01140306041697068
ours,omega,0.01104555468426234
ours,omega,0.011796536692290669
ours,omega,0.007133180614138323
ours,omega,0.010234806359395634
ours,omega,0.007587808537516411
ours,omega,0.01288347644782169
ours,omega,0.0075411392330144884
ours,omega,0.00492972842212492
ours,omega,0.007879073825677464
ours,omega,0.00680361987203662
ours,omega,0.010848544765834273
ours,omega,0.010028560718831264
ours,omega,0.007995389233347944
ours,omega,0.009885927034878561
