t_s,commanded_tire_friction,schedule
20.167,1.000000,constant
20.200,1.000000,constant
20.233,1.000000,constant
20.266,1.000000,constant
20.300,1.000000,constant
20.333,1.000000,constant
20.367,1.000000,constant
20.400,1.000000,constant
20.433,1.000000,constant
20.467,1.000000,constant
20.500,1.000000,constant
20.533,1.000000,constant
20.567,1.000000,constant
20.600,1.000000,constant
20.633,1.000000,constant
20.666,1.000000,constant
20.700,1.000000,constant
20.733,1.000000,constant
20.767,1.000000,constant
20.800,1.000000,constant
20.833,1.000000,constant
20.867,1.000000,constant
20.900,1.000000,constant
20.933,1.000000,constant
20.966,1.000000,constant
21.000,1.000000,constant
21.033,1.000000,constant
21.067,1.000000,constant
21.100,1.000000,constant
21.133,1.000000,constant
21.167,1.000000,constant
21.200,1.000000,constant
21.233,1.000000,constant
21.267,1.000000,constant
21.300,1.000000,constant
21.333,1.000000,constant
21.367,1.000000,constant
21.400,1.000000,constant
21.433,1.000000,constant
21.467,1.000000,constant
21.500,1.000000,constant
21.533,1.000000,constant
21.567,1.000000,constant
21.600,1.000000,constant
21.634,1.000000,constant
21.667,1.000000,constant
21.700,1.000000,constant
21.733,1.000000,constant
21.767,1.000000,constant
21.800,1.000000,constant
21.833,1.000000,constant
21.866,1.000000,constant
21.900,1.000000,constant
21.933,1.000000,constant
21.966,1.000000,constant
22.000,1.000000,constant
22.033,1.000000,constant
22.067,1.000000,constant
22.100,1.000000,constant
22.133,1.000000,constant
22.167,1.000000,constant
22.200,1.000000,constant
22.233,1.000000,constant
22.267,1.000000,constant
22.300,1.000000,constant
22.333,1.000000,constant
22.368,1.000000,constant
22.400,1.000000,constant
22.433,1.000000,constant
22.466,1.000000,constant
22.500,1.000000,constant
22.533,1.000000,constant
22.566,1.000000,constant
22.600,1.000000,constant
22.633,1.000000,constant
22.667,1.000000,constant
22.700,1.000000,constant
22.733,1.000000,constant
22.766,1.000000,constant
22.800,1.000000,constant
22.833,1.000000,constant
22.866,1.000000,constant
22.900,1.000000,constant
22.933,1.000000,constant
22.967,1.000000,constant
23.000,1.000000,constant
23.033,1.000000,constant
23.067,1.000000,constant
23.100,1.000000,constant
23.133,1.000000,constant
23.167,1.000000,constant
23.200,1.000000,constant
23.233,1.000000,constant
23.266,1.000000,constant
23.300,1.000000,constant
23.333,1.000000,constant
23.368,1.000000,constant
23.400,1.000000,constant
23.433,1.000000,constant
23.466,1.000000,constant
23.500,1.000000,constant
23.533,1.000000,constant
23.566,1.000000,constant
23.600,1.000000,constant
23.633,1.000000,constant
23.667,1.000000,constant
23.700,1.000000,constant
23.733,1.000000,constant
23.766,1.000000,constant
23.800,1.000000,constant
23.833,1.000000,constant
23.866,1.000000,constant
23.900,1.000000,constant
23.933,1.000000,constant
23.969,1.000000,constant
24.000,1.000000,constant
24.033,1.000000,constant
24.067,1.000000,constant
24.100,1.000000,constant
24.134,1.000000,constant
24.168,1.000000,constant
24.200,1.000000,constant
24.233,1.000000,constant
24.267,1.000000,constant
24.300,1.000000,constant
24.333,1.000000,constant
24.367,1.000000,constant
24.400,1.000000,constant
24.433,1.000000,constant
24.466,1.000000,constant
24.500,1.000000,constant
24.533,1.000000,constant
24.568,1.000000,constant
24.600,1.000000,constant
24.633,1.000000,constant
24.667,1.000000,constant
24.700,1.000000,constant
24.733,1.000000,constant
24.766,1.000000,constant
24.800,1.000000,constant
24.833,1.000000,constant
24.868,1.000000,constant
24.900,1.000000,constant
24.933,1.000000,constant
24.966,1.000000,constant
25.000,1.000000,constant
25.033,1.000000,constant
25.067,1.000000,constant
25.100,1.000000,constant
25.133,1.000000,constant
25.166,1.000000,constant
25.200,1.000000,constant
25.234,1.000000,constant
25.266,1.000000,constant
25.300,1.000000,constant
25.333,1.000000,constant
25.367,1.000000,constant
25.400,1.000000,constant
25.433,1.000000,constant
25.466,1.000000,constant
25.500,1.000000,constant
25.533,1.000000,constant
25.567,1.000000,constant
25.600,1.000000,constant
25.634,1.000000,constant
25.667,1.000000,constant
25.700,1.000000,constant
25.733,1.000000,constant
25.767,1.000000,constant
25.800,1.000000,constant
25.833,1.000000,constant
25.867,1.000000,constant
25.900,1.000000,constant
25.933,1.000000,constant
25.966,1.000000,constant
26.000,1.000000,constant
26.033,1.000000,constant
26.066,1.000000,constant
26.100,1.000000,constant
26.133,1.000000,constant
26.166,1.000000,constant
26.200,1.000000,constant
26.233,1.000000,constant
26.267,1.000000,constant
26.300,1.000000,constant
26.333,1.000000,constant
26.367,1.000000,constant
26.400,1.000000,constant
26.433,1.000000,constant
26.466,1.000000,constant
26.500,1.000000,constant
26.533,1.000000,constant
26.566,1.000000,constant
26.600,1.000000,constant
26.633,1.000000,constant
26.667,1.000000,constant
26.700,1.000000,constant
26.733,1.000000,constant
26.767,1.000000,constant
26.800,1.000000,constant
26.833,1.000000,constant
26.867,1.000000,constant
26.900,1.000000,constant
26.933,1.000000,constant
26.967,1.000000,constant
27.000,1.000000,constant
27.033,1.000000,constant
27.067,1.000000,constant
27.100,1.000000,constant
27.133,1.000000,constant
27.166,1.000000,constant
27.200,1.000000,constant
27.233,1.000000,constant
27.266,1.000000,constant
27.300,1.000000,constant
27.333,1.000000,constant
27.366,1.000000,constant
27.400,1.000000,constant
27.433,1.000000,constant
27.467,1.000000,constant
27.500,1.000000,constant
27.533,1.000000,constant
27.566,1.000000,constant
27.600,1.000000,constant
27.633,1.000000,constant
27.667,1.000000,constant
27.700,1.000000,constant
27.733,1.000000,constant
27.767,1.000000,constant
27.800,1.000000,constant
27.833,1.000000,constant
27.866,1.000000,constant
27.900,1.000000,constant
27.933,1.000000,constant
27.966,1.000000,constant
28.000,1.000000,constant
28.033,1.000000,constant
28.067,1.000000,constant
28.100,1.000000,constant
28.133,1.000000,constant
28.167,1.000000,constant
28.200,1.000000,constant
28.233,1.000000,constant
28.267,1.000000,constant
28.300,1.000000,constant
28.333,1.000000,constant
28.367,1.000000,constant
28.400,1.000000,constant
28.433,1.000000,constant
28.467,1.000000,constant
28.500,1.000000,constant
28.533,1.000000,constant
28.567,1.000000,constant
28.600,1.000000,constant
28.633,1.000000,constant
28.666,1.000000,constant
28.700,1.000000,constant
28.733,1.000000,constant
28.767,1.000000,constant
28.800,1.000000,constant
28.833,1.000000,constant
28.867,1.000000,constant
28.900,1.000000,constant
28.933,1.000000,constant
28.967,1.000000,constant
29.000,1.000000,constant
29.033,1.000000,constant
29.066,1.000000,constant
29.100,1.000000,constant
29.133,1.000000,constant
29.166,1.000000,constant
29.200,1.000000,constant
29.233,1.000000,constant
29.267,1.000000,constant
29.300,1.000000,constant
29.333,1.000000,constant
29.367,1.000000,constant
29.400,1.000000,constant
29.433,1.000000,constant
29.467,1.000000,constant
29.500,1.000000,constant
29.533,1.000000,constant
29.566,1.000000,constant
29.600,1.000000,constant
29.633,1.000000,constant
29.667,1.000000,constant
29.700,1.000000,constant
29.733,1.000000,constant
29.767,1.000000,constant
29.800,1.000000,constant
29.833,1.000000,constant
29.867,1.000000,constant
29.900,1.000000,constant
29.933,1.000000,constant
29.968,1.000000,constant
30.000,1.000000,constant
30.033,1.000000,constant
30.067,1.000000,constant
30.100,1.000000,constant
30.133,1.000000,constant
30.166,1.000000,constant
30.200,1.000000,constant
30.233,1.000000,constant
30.268,1.000000,constant
30.300,1.000000,constant
30.333,1.000000,constant
30.367,1.000000,constant
30.400,1.000000,constant
30.433,1.000000,constant
30.467,1.000000,constant
30.500,1.000000,constant
30.533,1.000000,constant
30.567,1.000000,constant
30.600,1.000000,constant
30.634,1.000000,constant
30.667,1.000000,constant
30.700,1.000000,constant
30.733,1.000000,constant
30.767,1.000000,constant
30.800,1.000000,constant
30.833,1.000000,constant
30.868,1.000000,constant
30.900,1.000000,constant
30.933,1.000000,constant
30.966,1.000000,constant
31.000,1.000000,constant
31.033,1.000000,constant
31.067,1.000000,constant
31.100,1.000000,constant
31.133,1.000000,constant
31.167,1.000000,constant
31.200,1.000000,constant
31.233,1.000000,constant
31.267,1.000000,constant
31.300,1.000000,constant
